subject_number,even_300s_m2_cor,even_300s_m2_gev,even_300s_m2_gfp,even_300s_m2_duration,even_300s_m2_coverage,even_300s_m2_occurrence,even_300s_m3_cor,even_300s_m3_gev,even_300s_m3_gfp,even_300s_m3_duration,even_300s_m3_coverage,even_300s_m3_occurrence,even_300s_m1_cor,even_300s_m1_gev,even_300s_m1_gfp,even_300s_m1_duration,even_300s_m1_coverage,even_300s_m1_occurrence,even_300s_m5_cor,even_300s_m5_gev,even_300s_m5_gfp,even_300s_m5_duration,even_300s_m5_coverage,even_300s_m5_occurrence,even_300s_m4_cor,even_300s_m4_gev,even_300s_m4_gfp,even_300s_m4_duration,even_300s_m4_coverage,even_300s_m4_occurrence,odd_300s_m2_cor,odd_300s_m2_gev,odd_300s_m2_gfp,odd_300s_m2_duration,odd_300s_m2_coverage,odd_300s_m2_occurrence,odd_300s_m3_cor,odd_300s_m3_gev,odd_300s_m3_gfp,odd_300s_m3_duration,odd_300s_m3_coverage,odd_300s_m3_occurrence,odd_300s_m1_cor,odd_300s_m1_gev,odd_300s_m1_gfp,odd_300s_m1_duration,odd_300s_m1_coverage,odd_300s_m1_occurrence,odd_300s_m5_cor,odd_300s_m5_gev,odd_300s_m5_gfp,odd_300s_m5_duration,odd_300s_m5_coverage,odd_300s_m5_occurrence,odd_300s_m4_cor,odd_300s_m4_gev,odd_300s_m4_gfp,odd_300s_m4_duration,odd_300s_m4_coverage,odd_300s_m4_occurrence
S1,0.654367,0.089316,1.230971,80.933165,17.559412,1.913026,0.708606,0.243824,1.348702,99.80777,33.533539,2.844272,0.628536,0.058468,1.153906,78.624284,14.596749,1.660362,0.65764,0.075156,1.213436,79.798788,16.202247,1.775866,0.658905,0.084669,1.219458,84.944209,18.108053,1.869712,0.649611,0.089577,1.205259,82.570019,19.162392,2.010958,0.708313,0.254136,1.359077,101.741385,34.378643,2.885288,0.619115,0.049045,1.115018,74.033723,13.715318,1.661226,0.652839,0.066124,1.190967,81.398662,14.662509,1.588366,0.653668,0.091325,1.234578,83.786234,18.081138,1.908953
S2,0.684781,0.104475,1.182173,92.845206,19.456342,1.8417,0.734904,0.209951,1.289731,99.712158,28.616298,2.377077,0.667579,0.089633,1.171608,82.920118,17.471875,1.813146,0.678595,0.057799,1.172075,82.717301,12.643481,1.349152,0.680945,0.109522,1.197082,95.6174,21.812004,1.934498,0.700164,0.134683,1.270358,97.479606,22.591497,1.885041,0.736252,0.219364,1.328387,108.736714,29.656052,2.26205,0.656183,0.074981,1.198961,82.326935,15.90395,1.653036,0.657049,0.055733,1.172485,86.295211,13.496897,1.35578,0.662892,0.084015,1.188832,95.105398,18.351604,1.631286
S3,0.669397,0.095939,1.187014,82.119637,19.004551,2.032113,0.73708,0.294135,1.375048,102.21779,35.22711,2.83351,0.639052,0.040903,1.047813,75.982407,11.917914,1.42391,0.681513,0.079855,1.1674,81.530254,16.588912,1.795987,0.6731,0.082071,1.177111,80.665338,17.261513,1.889007,0.667389,0.079622,1.122179,79.936296,16.367713,1.818156,0.7464,0.31761,1.327382,105.070619,37.144993,2.967977,0.65615,0.057913,1.056456,74.885915,14.206048,1.724733,0.671316,0.07638,1.109429,81.554764,16.597677,1.78941,0.671986,0.069874,1.083402,80.644204,15.683569,1.724733
S4,0.659721,0.098901,1.183312,81.878406,20.516634,2.208293,0.711592,0.227513,1.312398,98.095597,31.923871,2.754675,0.638589,0.042879,1.087478,72.275826,11.741136,1.487373,0.665555,0.091136,1.185533,88.303797,19.162822,1.874393,0.648466,0.071184,1.152576,81.505499,16.655537,1.806095,0.665019,0.119159,1.169617,82.461469,23.74192,2.482138,0.711847,0.218185,1.279542,91.962684,31.143485,2.961554,0.627692,0.048566,1.065615,75.615392,13.256627,1.592898,0.666952,0.07897,1.202673,85.081565,15.424824,1.608363,0.650876,0.071241,1.129495,80.10249,16.433145,1.832606
S5,0.662577,0.109883,1.197113,81.521288,22.148717,2.366881,0.728264,0.242862,1.338515,102.198036,32.348358,2.668254,0.660413,0.08019,1.170413,79.475513,17.62959,1.947899,0.641766,0.06727,1.192539,78.064164,15.303872,1.727382,0.628892,0.051762,1.16024,79.172897,12.569463,1.411308,0.666053,0.111143,1.191901,80.616678,20.996431,2.303844,0.72139,0.227923,1.297979,95.637511,31.244515,2.742672,0.654426,0.078926,1.116258,77.352854,18.237669,2.040548,0.637781,0.057019,1.155644,78.484269,13.357908,1.499327,0.639734,0.071188,1.156242,83.729256,16.163478,1.682172
S6,0.659055,0.08409,1.081477,86.155096,18.379591,1.827475,0.729787,0.216935,1.257058,101.872519,27.620351,2.242479,0.653855,0.055885,1.022455,79.079596,13.906282,1.528963,0.672648,0.08002,1.087538,87.819416,16.885575,1.68914,0.676637,0.123425,1.146104,98.980689,23.208201,1.994933,0.670116,0.084272,1.108155,82.627969,17.283407,1.828194,0.725512,0.216034,1.239085,98.56979,28.725404,2.408223,0.646868,0.048506,1.029107,80.999341,12.678414,1.395007,0.671567,0.085956,1.111674,90.525025,18.36417,1.762115,0.681703,0.124814,1.146584,96.551773,22.948605,2.063142
S7,0.63869,0.052773,1.075298,71.847303,13.198573,1.664685,0.72288,0.253686,1.303771,96.415592,32.226516,2.824019,0.650898,0.081707,1.090504,78.819737,18.941736,2.110583,0.660164,0.080584,1.099857,78.911975,17.731867,1.991677,0.650414,0.084765,1.130546,83.551404,17.901308,1.909929,0.657066,0.061269,1.118943,78.788895,13.970438,1.588875,0.730632,0.264426,1.334152,103.373083,33.214775,2.667561,0.672288,0.096062,1.160456,83.723597,19.804087,2.084487,0.67346,0.081632,1.136992,84.231796,17.713769,1.865835,0.673461,0.072606,1.164149,85.702565,15.29693,1.530568
S8,0.685896,0.117509,1.230125,84.852434,21.926288,2.236072,0.744967,0.275069,1.415284,95.830875,33.196093,2.931739,0.670616,0.077785,1.186531,81.567635,17.241183,1.852746,0.683357,0.066063,1.183911,82.245515,14.705548,1.597195,0.667294,0.055115,1.184263,75.545467,12.930888,1.512011,0.690923,0.132592,1.22073,83.521953,22.248398,2.298388,0.733919,0.25101,1.307797,98.86099,31.597093,2.657511,0.676741,0.09023,1.098114,85.276481,20.300514,2.082914,0.650582,0.051548,1.083469,73.91002,12.839371,1.558595,0.648733,0.053164,1.115493,79.095551,13.014623,1.472405
S9,0.684834,0.15827,1.365397,89.253722,27.127169,2.552007,0.726279,0.23634,1.403558,95.965564,33.103181,2.871938,0.670466,0.107902,1.323702,87.041515,20.058927,1.964227,0.638407,0.032314,1.110227,78.002563,9.928276,1.123478,0.662682,0.032049,1.104734,76.954793,9.782447,1.116038,0.683116,0.144803,1.241742,92.878726,25.450333,2.295106,0.730927,0.277817,1.349693,106.637326,35.108601,2.69331,0.667434,0.095246,1.220713,83.998119,19.151462,1.954822,0.653679,0.039611,0.990061,79.465958,12.383435,1.375615,0.646435,0.021049,0.958369,77.315541,7.906169,0.91949
S10,0.629772,0.067288,1.143869,77.130523,16.015255,1.862583,0.712764,0.224223,1.331743,93.374636,29.887062,2.756918,0.645863,0.081818,1.151579,78.61376,18.274007,2.062145,0.645848,0.072293,1.20195,75.416266,15.24657,1.751715,0.654497,0.093472,1.154496,86.863659,20.577105,2.025189,0.643756,0.0643,1.069507,75.905654,15.613361,1.833101,0.718008,0.241702,1.281687,96.888056,31.471136,2.778748,0.648282,0.083361,1.108754,76.236158,17.935289,2.094972,0.666579,0.080866,1.123728,75.810102,16.687034,1.971311,0.656734,0.090427,1.14319,86.30286,18.29318,1.891294
