subject_number,even_240s_m3_cor,even_240s_m3_gev,even_240s_m3_gfp,even_240s_m3_duration,even_240s_m3_coverage,even_240s_m3_occurrence,even_240s_m4_cor,even_240s_m4_gev,even_240s_m4_gfp,even_240s_m4_duration,even_240s_m4_coverage,even_240s_m4_occurrence,even_240s_m5_cor,even_240s_m5_gev,even_240s_m5_gfp,even_240s_m5_duration,even_240s_m5_coverage,even_240s_m5_occurrence,even_240s_m1_cor,even_240s_m1_gev,even_240s_m1_gfp,even_240s_m1_duration,even_240s_m1_coverage,even_240s_m1_occurrence,even_240s_m2_cor,even_240s_m2_gev,even_240s_m2_gfp,even_240s_m2_duration,even_240s_m2_coverage,even_240s_m2_occurrence,odd_240s_m3_cor,odd_240s_m3_gev,odd_240s_m3_gfp,odd_240s_m3_duration,odd_240s_m3_coverage,odd_240s_m3_occurrence,odd_240s_m4_cor,odd_240s_m4_gev,odd_240s_m4_gfp,odd_240s_m4_duration,odd_240s_m4_coverage,odd_240s_m4_occurrence,odd_240s_m5_cor,odd_240s_m5_gev,odd_240s_m5_gfp,odd_240s_m5_duration,odd_240s_m5_coverage,odd_240s_m5_occurrence,odd_240s_m1_cor,odd_240s_m1_gev,odd_240s_m1_gfp,odd_240s_m1_duration,odd_240s_m1_coverage,odd_240s_m1_occurrence,odd_240s_m2_cor,odd_240s_m2_gev,odd_240s_m2_gfp,odd_240s_m2_duration,odd_240s_m2_coverage,odd_240s_m2_occurrence
S1,0.715944,0.279783,1.361318,107.907181,37.257867,2.934399,0.640776,0.08262,1.209022,84.384805,18.096061,1.872255,0.656392,0.062483,1.171628,83.939821,14.470368,1.494203,0.622322,0.047993,1.12148,72.838871,13.192194,1.647224,0.656572,0.084559,1.210664,78.418753,16.98351,1.90826,0.699585,0.226188,1.277152,95.957381,31.626857,2.821876,0.668087,0.102415,1.172791,87.401257,19.632974,1.957107,0.653598,0.059945,1.125804,77.504806,13.399359,1.54748,0.615261,0.059344,1.082367,80.896278,15.445674,1.729537,0.656455,0.100897,1.172936,84.673985,19.895135,2.02993
S2,0.732944,0.231024,1.353022,109.186499,31.913518,2.352392,0.668267,0.090278,1.230466,95.743708,19.08131,1.687976,0.659271,0.050309,1.206345,81.318178,12.455107,1.346789,0.666787,0.095494,1.279081,85.60212,17.730929,1.768783,0.685194,0.103745,1.262295,87.828161,18.819135,1.78674,0.741034,0.199851,1.313497,97.083915,25.888052,2.242555,0.673073,0.106286,1.182025,95.218398,21.837101,1.946537,0.669625,0.05651,1.148473,84.057023,13.092931,1.354503,0.662721,0.073892,1.129707,83.878644,15.705059,1.62361,0.697051,0.138921,1.229485,96.781316,23.476857,2.06315
S3,0.739131,0.320743,1.359462,104.045495,37.491861,3.038414,0.677316,0.073614,1.133634,80.049607,15.799754,1.718151,0.661946,0.071099,1.112741,78.971148,16.559358,1.87188,0.653328,0.048941,1.074924,73.493788,12.41771,1.537293,0.666365,0.085477,1.143956,81.399696,17.731317,1.917095,0.744173,0.29704,1.328003,107.778257,36.156386,2.778666,0.679558,0.075357,1.116506,79.720103,16.348851,1.811015,0.684999,0.079496,1.163098,83.328108,15.319058,1.61571,0.664239,0.063151,1.070702,81.479272,15.201875,1.68673,0.660843,0.080787,1.130281,82.569545,16.973829,1.819893
S4,0.71482,0.237352,1.239507,99.940458,33.618024,2.9081,0.655042,0.077691,1.090962,81.796449,17.707528,1.883985,0.673779,0.083509,1.148118,85.563518,16.698872,1.710079,0.638482,0.040666,1.016106,72.608571,11.327098,1.420235,0.662405,0.10279,1.137514,79.653174,20.648477,2.251121,0.711583,0.230147,1.234106,95.095765,31.907302,2.887235,0.647495,0.075423,1.091252,80.851426,17.189119,1.889652,0.65504,0.066375,1.113072,86.350706,14.595403,1.47719,0.632825,0.051068,1.036095,71.906685,13.536431,1.716993,0.657051,0.106405,1.098508,80.421798,22.771745,2.474773
S5,0.72309,0.230288,1.272122,100.341555,31.364917,2.631969,0.629882,0.060529,1.110442,86.010174,14.73532,1.492067,0.640076,0.059575,1.127058,80.721048,13.815985,1.501335,0.6604,0.085244,1.097003,79.158674,19.135528,2.103722,0.658789,0.111055,1.170135,84.862437,20.94825,2.187129,0.718993,0.241587,1.234095,95.683304,31.523313,2.742181,0.646284,0.066945,1.07913,79.198542,15.026788,1.692369,0.631527,0.064494,1.093832,77.337947,15.030408,1.737619,0.651747,0.069778,1.040904,76.986062,16.09832,1.81002,0.666272,0.110035,1.093296,81.968008,22.32117,2.380177
S6,0.723256,0.211899,1.256183,93.825424,28.166179,2.516471,0.676821,0.113347,1.135718,94.162571,21.863104,2.004026,0.665547,0.083704,1.119385,86.101447,17.686676,1.802709,0.655477,0.058278,1.003289,79.877136,15.45754,1.647145,0.667329,0.084046,1.120494,79.527334,16.826501,1.866764,0.740026,0.222071,1.250388,102.292956,27.581855,2.17258,0.684185,0.145176,1.169068,99.74166,25,2.136521,0.685236,0.078223,1.066126,89.172172,16.706332,1.631689,0.661813,0.049472,1.033152,79.520446,11.83831,1.343214,0.667243,0.083445,1.053376,90.190391,18.873504,1.775927
S7,0.724035,0.255084,1.334402,96.663006,32.251588,2.765204,0.664269,0.065561,1.140495,80.955524,14.422866,1.560561,0.658238,0.074624,1.126238,78.50463,16.627729,1.916478,0.669819,0.105666,1.165723,84.633143,21.289333,2.217639,0.65481,0.065048,1.106154,76.009144,15.408484,1.816091,0.732681,0.258535,1.310592,97.396565,32.029131,2.777468,0.657392,0.088486,1.15218,87.842943,18.243971,1.802103,0.666119,0.077701,1.098903,82.27869,17.701483,1.913573,0.661832,0.083046,1.100369,76.655666,18.596961,2.155092,0.658807,0.060507,1.108136,74.362885,13.428455,1.616319
S8,0.7475,0.253935,1.407989,97.638356,31.041986,2.702172,0.664635,0.058253,1.234078,72.78254,12.81347,1.587415,0.664085,0.052289,1.189278,76.126193,12.232012,1.453644,0.663933,0.081053,1.153915,85.033102,19.537688,1.961973,0.687949,0.138064,1.274871,87.175573,24.374844,2.363286,0.732942,0.276481,1.309441,98.339092,33.970625,2.894615,0.654393,0.051897,1.075994,77.295957,13.082943,1.474109,0.663637,0.060834,1.089364,77.566159,14.387307,1.661723,0.673941,0.077865,1.090783,79.849281,17.460601,1.929743,0.679618,0.115609,1.176599,81.470878,21.098524,2.260301
S9,0.727519,0.274098,1.474553,108.972316,35.053532,2.630312,0.648809,0.022026,1.045597,78.035785,8.505909,0.981736,0.63487,0.026627,1.067766,74.074395,9.246842,1.102138,0.660921,0.105321,1.320992,91.296533,21.73156,2.056089,0.683212,0.150471,1.386573,93.582444,25.462157,2.259845,0.734332,0.270339,1.29314,102.491532,34.699454,2.804142,0.675771,0.035167,1.011997,76.377235,9.807305,1.141429,0.664904,0.032015,0.914542,77.195147,10.846276,1.240293,0.673904,0.082474,1.164268,79.109379,16.598361,1.82449,0.681847,0.161271,1.217401,90.573297,28.048605,2.624389
S10,0.705765,0.220792,1.378403,96.089802,30.967432,2.735574,0.653959,0.097672,1.237737,87.074825,20.816236,2.125615,0.665135,0.081332,1.296676,76.797319,15.63713,1.765184,0.643878,0.085768,1.266139,77.158048,17.4744,2.014713,0.647226,0.058711,1.164501,75.59479,15.104802,1.783668,0.723831,0.219338,1.323424,89.694188,28.036026,2.669233,0.655329,0.097194,1.170399,88.907192,19.229372,1.870279,0.657179,0.075911,1.123505,75.04031,16.251453,1.95199,0.647328,0.08579,1.106174,77.864531,19.280215,2.224361,0.635503,0.07618,1.125167,77.599305,17.202934,1.95199
