subject_number,even_60s_m4_cor,even_60s_m4_gev,even_60s_m4_gfp,even_60s_m4_duration,even_60s_m4_coverage,even_60s_m4_occurrence,even_60s_m3_cor,even_60s_m3_gev,even_60s_m3_gfp,even_60s_m3_duration,even_60s_m3_coverage,even_60s_m3_occurrence,even_60s_m1_cor,even_60s_m1_gev,even_60s_m1_gfp,even_60s_m1_duration,even_60s_m1_coverage,even_60s_m1_occurrence,even_60s_m5_cor,even_60s_m5_gev,even_60s_m5_gfp,even_60s_m5_duration,even_60s_m5_coverage,even_60s_m5_occurrence,even_60s_m2_cor,even_60s_m2_gev,even_60s_m2_gfp,even_60s_m2_duration,even_60s_m2_coverage,even_60s_m2_occurrence,odd_60s_m4_cor,odd_60s_m4_gev,odd_60s_m4_gfp,odd_60s_m4_duration,odd_60s_m4_coverage,odd_60s_m4_occurrence,odd_60s_m3_cor,odd_60s_m3_gev,odd_60s_m3_gfp,odd_60s_m3_duration,odd_60s_m3_coverage,odd_60s_m3_occurrence,odd_60s_m1_cor,odd_60s_m1_gev,odd_60s_m1_gfp,odd_60s_m1_duration,odd_60s_m1_coverage,odd_60s_m1_occurrence,odd_60s_m5_cor,odd_60s_m5_gev,odd_60s_m5_gfp,odd_60s_m5_duration,odd_60s_m5_coverage,odd_60s_m5_occurrence,odd_60s_m2_cor,odd_60s_m2_gev,odd_60s_m2_gfp,odd_60s_m2_duration,odd_60s_m2_coverage,odd_60s_m2_occurrence
S1,0.649832,0.072383,1.189964,81.880365,17.267552,1.934024,0.708803,0.249452,1.419547,94.909975,32.958692,2.992264,0.64027,0.059163,1.17526,72.040807,15.720333,2.043497,0.667765,0.064454,1.252659,82.583739,13.735221,1.42315,0.682979,0.120615,1.32239,87.937338,20.318202,2.007006,0.669185,0.126196,1.269822,99.102985,21.445221,1.930361,0.723402,0.257256,1.348766,111.799897,34.265734,2.513112,0.615291,0.05116,1.099187,73.624315,14.189977,1.71183,0.665807,0.062749,1.158166,76.66451,13.111888,1.566142,0.640463,0.071093,1.170239,77.650814,16.987179,1.930361
S2,0.64605,0.072892,1.17288,90.170601,17.234382,1.558197,0.728966,0.155477,1.261277,96.654578,25.192057,2.174228,0.688454,0.128084,1.336521,82.18632,17.422815,1.811857,0.665161,0.071595,1.309732,106.556486,13.958545,1.123351,0.690778,0.144254,1.239338,91.856588,26.192202,2.28294,0.658945,0.073133,1.140461,93.565266,18.949,1.761059,0.755901,0.225874,1.404462,107.129632,27.754297,2.042829,0.692683,0.12276,1.394766,97.200125,18.822203,1.514511,0.658656,0.03523,1.086409,71.327814,10.369118,1.338405,0.728054,0.150146,1.293866,109.799547,24.105382,1.866723
S3,0.681481,0.079724,1.154075,84.651478,18.374165,1.913976,0.771633,0.357472,1.457243,117.52257,37.694878,2.679566,0.680169,0.05949,1.086872,74.408193,14.81069,1.809577,0.672313,0.062548,1.16262,73.137163,13.140312,1.60078,0.674623,0.072299,1.13168,81.233985,15.979955,1.739978,0.685544,0.056559,1.096229,80.896297,12.640766,1.407658,0.753054,0.334046,1.330717,109.542124,37.894144,2.956081,0.660228,0.073667,1.094982,84.241056,17.469032,1.900338,0.689089,0.090432,1.155142,78.552377,18.201014,2.005912,0.683067,0.0648,1.138662,79.446014,13.795045,1.618806
S4,0.653582,0.072612,1.177082,88.167956,16.306362,1.621371,0.718299,0.221805,1.330825,92.96156,29.138357,2.740889,0.625724,0.048271,1.123009,72.146804,12.183447,1.582767,0.668498,0.098296,1.232338,94.57026,18.437307,1.621371,0.672891,0.109702,1.143867,77.778958,23.934527,2.625077,0.665595,0.059599,1.126611,79.093179,14.298822,1.60575,0.709998,0.253934,1.33191,93.672772,33.261967,3.058572,0.628765,0.049675,1.076876,75.841936,13.167151,1.567518,0.664406,0.049527,1.1301,78.513316,11.500229,1.261661,0.677609,0.135771,1.167739,86.37094,27.771831,2.752714
S5,0.612784,0.051643,1.067118,75.307354,13.825865,1.630743,0.715989,0.218916,1.260595,92.434556,30.501985,2.694271,0.651609,0.068592,1.117743,80.948036,15.258083,1.595292,0.645429,0.080849,1.158911,82.378544,16.449234,1.737096,0.677408,0.134544,1.177982,85.623122,23.964833,2.481566,0.660977,0.061826,1.161598,76.484786,12.752254,1.46701,0.718056,0.206614,1.244995,98.805758,29.94132,2.576213,0.661816,0.075749,1.049009,89.654477,18.563046,1.789037,0.645969,0.088845,1.165486,88.458104,17.947617,1.789037,0.649144,0.106411,1.157027,85.252319,20.795764,2.146844
S6,0.703142,0.12778,1.165979,93.0857,23.029521,2.113786,0.746516,0.168761,1.263804,91.259394,20.951562,2.006306,0.669443,0.081487,1.040315,82.331539,19.289195,1.934652,0.696127,0.10542,1.166663,95.884224,19.045572,1.71969,0.696999,0.090514,1.104251,84.552779,17.68415,1.827171,0.686163,0.171185,1.162438,112.516415,26.331878,1.965066,0.713347,0.164845,1.131708,91.568542,25.254731,2.401747,0.65223,0.039874,0.967993,68.258295,10.582242,1.382824,0.691004,0.131012,1.122178,102.110256,22.780204,1.819505,0.65501,0.062122,1.008658,85.73874,15.050946,1.564774
S7,0.665514,0.067733,1.147027,80.290647,13.402829,1.489203,0.705941,0.223769,1.184721,95.396803,33.179449,2.978407,0.668185,0.11239,1.099007,87.842736,22.799702,2.233805,0.678168,0.109172,1.113217,85.08556,21.921072,2.308265,0.60754,0.031673,1.037595,64.537475,8.696947,1.265823,0.67717,0.055628,1.102308,77.07854,12.940341,1.420455,0.758566,0.260997,1.28632,98.212814,33.125,2.805398,0.669175,0.075066,1.118906,79.434311,16.065341,1.775568,0.722575,0.127788,1.22696,90.891999,20.497159,1.917614,0.681472,0.082488,1.109944,86.207264,17.372159,1.775568
S8,0.65714,0.048647,1.136678,72.052998,12.249253,1.564945,0.728844,0.179591,1.230731,82.183999,28.197468,2.916489,0.657545,0.10821,1.224111,84.63484,21.852326,2.240717,0.642908,0.056127,1.139507,72.351855,14.340589,1.778347,0.705389,0.165369,1.355172,87.95861,23.360364,2.276284,0.657139,0.043152,1.077033,71.475687,11.12643,1.37874,0.756538,0.285775,1.349346,100.78717,32.000551,2.688543,0.692792,0.09249,1.114162,80.356977,19.123121,2.102578,0.644389,0.04885,1.007185,78.69495,14.145871,1.620019,0.690963,0.133044,1.191207,85.014341,23.604026,2.481732
S9,0.665444,0.024211,1.113067,75.123334,8.209868,1.019437,0.743196,0.271427,1.524809,104.672798,31.996738,2.514612,0.692078,0.104085,1.422715,79.003138,16.718771,1.936931,0.683177,0.061917,1.154854,85.91622,16.474106,1.665081,0.703835,0.162739,1.326999,91.487469,26.600517,2.514612,0.685519,0.049655,1.152003,78.515816,11.86535,1.356239,0.742493,0.281843,1.397018,103.958805,31.603839,2.538601,0.670532,0.055761,1.089442,79.677026,13.618028,1.530115,0.675361,0.095259,1.181162,85.727057,18.903881,1.912644,0.691327,0.144186,1.267913,85.77899,24.008902,2.46905
S10,0.646598,0.082369,1.183089,93.643413,18.602291,1.776135,0.717003,0.234376,1.392077,95.897837,28.838625,2.356097,0.658091,0.102995,1.23725,76.969874,19.066261,2.247354,0.661412,0.06543,1.126742,75.473636,14.876033,1.776135,0.662647,0.081132,1.137121,74.133448,18.61679,2.247354,0.664075,0.079995,1.053725,79.089146,15.965665,1.824034,0.722086,0.183737,1.183554,81.567751,25.064378,2.610873,0.656273,0.109386,1.076385,69.366917,21.187411,2.7897,0.659549,0.115283,1.060639,77.969644,23.562232,2.682403,0.65427,0.067371,1.057379,72.898186,14.220315,1.680973
