subject_number,even_180s_m3_cor,even_180s_m3_gev,even_180s_m3_gfp,even_180s_m3_duration,even_180s_m3_coverage,even_180s_m3_occurrence,even_180s_m4_cor,even_180s_m4_gev,even_180s_m4_gfp,even_180s_m4_duration,even_180s_m4_coverage,even_180s_m4_occurrence,even_180s_m5_cor,even_180s_m5_gev,even_180s_m5_gfp,even_180s_m5_duration,even_180s_m5_coverage,even_180s_m5_occurrence,even_180s_m2_cor,even_180s_m2_gev,even_180s_m2_gfp,even_180s_m2_duration,even_180s_m2_coverage,even_180s_m2_occurrence,even_180s_m1_cor,even_180s_m1_gev,even_180s_m1_gfp,even_180s_m1_duration,even_180s_m1_coverage,even_180s_m1_occurrence,odd_180s_m3_cor,odd_180s_m3_gev,odd_180s_m3_gfp,odd_180s_m3_duration,odd_180s_m3_coverage,odd_180s_m3_occurrence,odd_180s_m4_cor,odd_180s_m4_gev,odd_180s_m4_gfp,odd_180s_m4_duration,odd_180s_m4_coverage,odd_180s_m4_occurrence,odd_180s_m5_cor,odd_180s_m5_gev,odd_180s_m5_gfp,odd_180s_m5_duration,odd_180s_m5_coverage,odd_180s_m5_occurrence,odd_180s_m2_cor,odd_180s_m2_gev,odd_180s_m2_gfp,odd_180s_m2_duration,odd_180s_m2_coverage,odd_180s_m2_occurrence,odd_180s_m1_cor,odd_180s_m1_gev,odd_180s_m1_gfp,odd_180s_m1_duration,odd_180s_m1_coverage,odd_180s_m1_occurrence
S1,0.712383,0.247598,1.343652,98.882772,33.948946,2.91288,0.654257,0.071171,1.166116,81.765018,16.292787,1.788822,0.645641,0.061249,1.144494,74.128264,14.523303,1.752562,0.663591,0.117258,1.255842,84.696294,20.827693,2.078902,0.622766,0.05788,1.145418,74.440986,14.407271,1.740476,0.718098,0.268384,1.340322,105.894372,34.958531,2.804545,0.666002,0.099566,1.22117,85.127256,19.003787,1.953593,0.668537,0.081314,1.193772,85.499772,16.913562,1.737859,0.667086,0.060634,1.170942,72.987943,13.365933,1.653962,0.629671,0.057395,1.096928,72.609463,15.758186,1.977564
S2,0.7309,0.193639,1.310375,99.903938,27.765613,2.308644,0.679179,0.095831,1.231445,96.788326,19.107007,1.654132,0.677678,0.059542,1.165041,83.959205,14.265994,1.451828,0.692296,0.114748,1.268827,91.6267,19.578256,1.868336,0.665829,0.109499,1.267589,90.855097,19.28313,1.773134,0.74054,0.237382,1.33254,104.486862,29.788152,2.264666,0.667933,0.087893,1.143528,89.80348,19.976994,1.905196,0.669393,0.054766,1.176255,83.377922,12.269939,1.306077,0.70524,0.137937,1.252874,95.528397,22.138612,1.893213,0.673839,0.075621,1.148797,83.615234,15.826304,1.641584
S3,0.744654,0.324838,1.366592,100.538568,36.605539,2.977597,0.697693,0.077015,1.133157,79.237582,16.126288,1.784195,0.661038,0.072684,1.134526,78.74285,15.828528,1.760563,0.648658,0.063265,1.083669,80.75992,15.488231,1.701484,0.656594,0.062495,1.054339,78.587719,15.951413,1.831459,0.749826,0.300144,1.287563,106.055276,36.346291,2.885762,0.686429,0.06596,1.104093,81.255304,13.384212,1.442881,0.685067,0.087624,1.111711,81.706144,17.452898,1.884093,0.674464,0.088529,1.118845,77.291333,17.448128,1.991414,0.656247,0.063987,1.062661,79.190372,15.368471,1.752922
S4,0.712003,0.230092,1.230934,95.91299,31.853799,2.874008,0.660465,0.078168,1.099666,86.906018,16.888339,1.726982,0.669987,0.08343,1.131081,92.918957,16.718218,1.520775,0.650757,0.091416,1.083754,81.710993,20.713476,2.255387,0.636459,0.054959,1.051768,73.991394,13.826168,1.714094,0.704124,0.227625,1.219212,95.74429,31.480079,2.827854,0.649234,0.064616,1.048041,77.19662,15.598647,1.805282,0.661388,0.078314,1.104932,83.613806,16.416705,1.767409,0.660315,0.117851,1.098113,80.969392,24.198354,2.575367,0.626199,0.044031,1.005915,71.782874,12.306216,1.578044
S5,0.716372,0.236678,1.331036,96.925618,30.515275,2.658546,0.638009,0.065366,1.145322,84.433108,14.979698,1.583043,0.644442,0.071288,1.147733,76.920451,16.270302,1.860982,0.663395,0.095031,1.142439,80.671346,20.069606,2.187258,0.65969,0.082821,1.136569,78.852679,18.16512,2.030162,0.731813,0.224383,1.340497,99.483544,30.511782,2.573547,0.65027,0.061611,1.181871,79.217526,13.967898,1.549007,0.639087,0.071723,1.197729,80.807575,16.436552,1.805142,0.659573,0.108525,1.23172,84.286891,21.149437,2.219837,0.659312,0.0817,1.17227,78.808783,17.934332,1.963702
S6,0.742733,0.244772,1.318315,102.836109,27.505504,2.189624,0.677343,0.115717,1.152543,94.581229,22.666794,2.081937,0.67012,0.087124,1.116599,87.898893,18.354552,1.818704,0.669547,0.075977,1.080855,86.899411,16.559778,1.639227,0.652039,0.057627,1.041342,80.452795,14.913372,1.579401,0.728822,0.200777,1.241887,96.97065,27.290731,2.390958,0.698724,0.137897,1.182352,95.73762,22.581268,2.00454,0.688021,0.0925,1.111734,91.933384,18.958605,1.738878,0.675004,0.094368,1.125695,87.143152,18.137468,1.799256,0.665986,0.0507,1.01492,78.264666,13.031928,1.497368
S7,0.727129,0.253188,1.33596,96.97725,30.920856,2.663016,0.643616,0.070714,1.138656,79.761643,15.928323,1.74216,0.67138,0.097952,1.116451,83.895391,20.831259,2.190144,0.643301,0.046531,1.094369,75.316787,11.49328,1.381284,0.658061,0.093603,1.115881,81.077317,20.826282,2.23992,0.726077,0.270115,1.277641,98.999148,34.245974,2.867252,0.67205,0.072934,1.10921,88.337269,15.212299,1.525134,0.674853,0.076234,1.098315,80.855559,16.82284,1.81796,0.665714,0.062414,1.072225,76.851152,13.918985,1.610542,0.662941,0.093324,1.095528,82.817333,19.799902,2.122987
S8,0.732944,0.25214,1.387762,96.546126,32.719807,2.886473,0.664454,0.051829,1.203827,78.094506,12.043478,1.364734,0.678645,0.068258,1.218828,79.742952,15.289855,1.690821,0.686537,0.125775,1.306959,84.685462,21.89372,2.18599,0.660416,0.077172,1.195146,82.222103,18.05314,1.908213,0.738939,0.269915,1.230524,97.021114,32.722367,2.802847,0.649989,0.046625,1.035571,71.21353,11.350949,1.442129,0.665958,0.064858,1.029295,74.982812,14.584109,1.779401,0.682086,0.111441,1.097153,82.63713,20.040938,2.151563,0.675059,0.098888,1.046329,86.146214,21.301638,2.128303
S9,0.734694,0.26373,1.382014,103.834175,36.264653,2.844671,0.653262,0.027951,1.063441,73.696202,8.950905,1.079013,0.67318,0.036417,1.084906,80.602629,10.554711,1.177105,0.682066,0.152073,1.334446,93.62107,26.220021,2.354211,0.674663,0.095563,1.304641,80.86676,18.009711,1.986365,0.740644,0.304227,1.399238,113.040364,35.114577,2.547481,0.684708,0.023842,0.972423,82.91079,8.376788,0.90896,0.669296,0.052378,1.025397,80.77554,15.050471,1.602641,0.692189,0.138258,1.265039,89.750764,23.589915,2.236521,0.680834,0.084799,1.194322,82.388994,17.868249,1.901641
S10,0.711487,0.22062,1.25975,88.62998,28.952121,2.781981,0.643681,0.093654,1.100211,89.507813,20.357265,1.915662,0.652232,0.073009,1.094266,75.82746,15.852409,1.879057,0.626099,0.067171,1.075113,76.842254,15.998829,1.805847,0.644526,0.091287,1.107429,81.756914,18.839377,2.110889,0.708849,0.226432,1.393823,102.11932,31.170133,2.605863,0.645926,0.076637,1.198562,86.39626,17.56452,1.841644,0.650944,0.083425,1.233268,78.694145,17.569531,1.941869,0.640851,0.059981,1.144242,78.033112,15.399649,1.779003,0.648771,0.081044,1.193304,75.772419,18.296166,2.117264
S11,0.738301,0.285726,1.331152,106.809134,34.95731,2.773624,0.679073,0.078888,1.115497,81.946542,16.106314,1.712411,0.662808,0.073446,1.091493,82.472223,17.321885,1.820944,0.644067,0.056448,1.102215,76.851881,13.337514,1.567701,0.672839,0.087696,1.131344,81.019856,18.276977,1.989774,0.721638,0.243461,1.24775,95.165724,31.292583,2.86301,0.657788,0.086208,1.088165,83.690551,17.666103,1.824112,0.649077,0.079481,1.071182,81.667252,17.385842,1.860353,0.622598,0.048786,1.023539,75.591466,12.805025,1.510027,0.649884,0.101401,1.107958,83.794373,20.850447,2.174438
S12,0.744926,0.242216,1.29693,93.109744,29.21452,2.709746,0.702283,0.092466,1.146646,77.405624,16.982612,1.983303,0.694683,0.0976,1.145259,77.363539,17.59144,2.052488,0.685443,0.097508,1.116312,80.903518,18.624602,1.983303,0.674271,0.07956,1.072317,75.72897,17.586827,2.064019,0.755184,0.261733,1.267913,91.435446,30.70013,2.882478,0.685579,0.074039,1.059299,70.6428,14.956473,1.910076,0.68854,0.091603,1.08821,78.508029,17.855158,2.037414,0.691639,0.105996,1.119914,80.097913,19.077607,2.1416,0.672689,0.081308,1.053476,75.604367,17.410632,2.083719
S13,0.740366,0.301351,1.411993,110.852734,36.897224,2.764247,0.667711,0.073951,1.154914,94.105164,18.124696,1.692645,0.662379,0.065326,1.212275,89.556892,14.598149,1.40039,0.671215,0.07115,1.225416,83.948096,15.518753,1.619581,0.668801,0.069581,1.189666,80.837852,14.861179,1.619581,0.731051,0.264504,1.302668,106.001676,34.683358,2.736868,0.670857,0.073174,1.088982,85.217954,16.985763,1.70594,0.647478,0.06255,1.082359,78.824059,15.370643,1.70594,0.672123,0.083306,1.136704,87.216948,17.034855,1.718213,0.680707,0.077466,1.119909,82.414871,15.92538,1.718213
S14,0.740732,0.256302,1.306526,94.76062,33.402882,2.959872,0.669499,0.057427,1.111829,76.256162,13.925955,1.601242,0.682355,0.070849,1.145483,77.3492,15.420447,1.734679,0.69038,0.137109,1.211776,87.450572,23.591635,2.34121,0.671876,0.06312,1.120497,74.043594,13.659081,1.686157,0.738248,0.299472,1.297978,104.77711,36.746231,2.887031,0.677764,0.060405,1.085368,80.003264,13.461538,1.485794,0.668395,0.066496,1.07797,76.338003,15.63104,1.751546,0.687866,0.098702,1.133502,80.147585,18.496328,2.017298,0.652725,0.062978,1.050565,77.85856,15.664863,1.787785
S15,0.753596,0.300793,1.332004,105.809919,34.960428,2.736837,0.699684,0.105286,1.163338,90.74515,19.804749,1.871949,0.687027,0.084817,1.122485,80.968985,17.762191,1.871949,0.670535,0.057642,1.060209,75.477306,14.013554,1.682385,0.653139,0.061475,1.095434,75.278637,13.459078,1.634994,0.754041,0.27672,1.317128,104.218824,33.140092,2.635109,0.708588,0.142274,1.235599,94.244051,22.479877,2.036221,0.679403,0.072142,1.114215,82.387556,15.95918,1.712821,0.661724,0.057335,1.082651,77.151794,13.415102,1.533154,0.636475,0.056631,1.042824,80.644171,15.005749,1.688865
S16,0.755692,0.267898,1.267539,106.335932,29.88083,2.362443,0.703198,0.10561,1.077087,85.558572,19.658319,2.024951,0.708012,0.112632,1.087664,86.664145,20.836049,2.083139,0.702343,0.07442,1.023952,82.598357,16.083232,1.710735,0.682054,0.061799,1.03135,74.199853,13.54157,1.594358,0.778105,0.302661,1.305719,105.56988,33.221492,2.644578,0.709807,0.096347,1.099516,85.850291,19.446386,1.957221,0.699421,0.11036,1.117014,87.170838,20.532178,2.027121,0.704905,0.066436,1.067451,74.729192,13.705205,1.689268,0.697099,0.057349,1.059386,75.33533,13.094739,1.572767
S17,0.743956,0.337169,1.362692,106.991402,39.80514,3.165302,0.652223,0.05241,1.072347,80.611726,13.25426,1.470865,0.659814,0.070125,1.08692,89.595952,16.600772,1.600301,0.651837,0.058207,1.113252,80.466321,13.197778,1.470865,0.655219,0.077883,1.139924,74.415529,17.14205,2.059211,0.747633,0.347314,1.374353,108.542575,38.198113,2.818396,0.667021,0.068255,1.118706,76.918809,15.127358,1.733491,0.647744,0.056093,1.027148,79.853023,14.948113,1.603774,0.65764,0.057297,1.080469,79.552702,13.268868,1.462264,0.647433,0.081525,1.086537,78.485178,18.457547,2.051887
S18,0.720665,0.243152,1.352358,94.978005,31.259922,2.730072,0.654855,0.057634,1.175335,78.679857,12.738731,1.419156,0.648661,0.088037,1.157784,87.602374,19.536249,1.936306,0.669993,0.099096,1.183211,79.769246,20.041372,2.212922,0.65007,0.076359,1.170993,77.380602,16.423726,1.912253,0.733584,0.260929,1.300946,99.116198,32.006978,2.746217,0.646185,0.079492,1.130501,78.925991,17.349488,1.932959,0.653766,0.087741,1.118649,81.34676,18.768563,2.039036,0.664897,0.089908,1.115525,78.976966,18.165103,2.062609,0.641718,0.055726,1.073737,70.245921,13.709868,1.744378
S19,0.739834,0.302427,1.345816,109.537764,36.488101,2.750672,0.677194,0.08911,1.151887,89.162377,18.694613,1.792293,0.677395,0.078186,1.128421,85.174992,16.842577,1.730061,0.664565,0.063091,1.099128,80.212052,14.771483,1.618042,0.629347,0.04456,1.041111,77.752652,13.203226,1.493578,0.731862,0.311238,1.39402,108.277809,37.302925,2.813585,0.66139,0.08241,1.19018,93.685059,17.833416,1.611304,0.661901,0.088441,1.145386,88.869257,19.821517,1.92117,0.654471,0.063473,1.114412,78.80249,15.329698,1.722856,0.64185,0.032897,1.073696,70.90785,9.712444,1.251859
S20,0.724982,0.255044,1.297961,105.781649,34.003822,2.702907,0.663085,0.078477,1.167258,85.751242,16.353213,1.684602,0.670275,0.075946,1.141886,86.37073,16.302927,1.646887,0.64351,0.049784,1.068844,74.450828,13.124811,1.571457,0.675864,0.101165,1.161654,81.37469,20.215227,2.112039,0.719138,0.234799,1.285526,104.602144,32.277189,2.478375,0.668799,0.088687,1.175108,91.141511,17.300029,1.591505,0.657857,0.07459,1.103315,90.697156,17.202838,1.65225,0.657419,0.058587,1.133018,77.031322,13.145106,1.54291,0.674141,0.101834,1.150774,86.299201,20.074837,1.907377
S21,0.717582,0.259852,1.308134,102.280878,33.585597,2.749835,0.653446,0.062463,1.093552,82.286784,15.549497,1.692206,0.624409,0.038632,1.063737,74.990858,10.844223,1.292658,0.657823,0.101711,1.214011,85.503294,19.126633,1.927235,0.659486,0.102741,1.171518,82.029676,20.894049,2.174015,0.722936,0.266004,1.258048,104.241655,33.591109,2.720537,0.656267,0.062692,1.077928,76.281405,14.466312,1.655476,0.648929,0.038093,0.997195,73.591442,10.23385,1.250289,0.670744,0.098443,1.104691,82.211811,19.328548,2.060662,0.671912,0.114716,1.116172,82.550435,22.380181,2.361658
S22,0.73917,0.280355,1.323976,115.653876,36.873854,2.605926,0.698909,0.109807,1.22948,95.129683,19.476884,1.689026,0.678821,0.062406,1.146077,88.157729,13.116495,1.315028,0.649678,0.063147,1.120181,78.910431,15.032333,1.713155,0.663815,0.064854,1.115989,78.328543,15.500434,1.785542,0.75473,0.287174,1.340612,111.803622,34.608571,2.525736,0.685601,0.112442,1.170054,90.869377,22.111563,1.987072,0.686104,0.070711,1.142385,80.62837,14.699545,1.592052,0.664679,0.054889,1.105812,72.243502,13.038066,1.615992,0.667452,0.06792,1.105692,80.957911,15.542255,1.711755
S23,0.72735,0.297483,1.350752,108.138631,36.508088,2.863005,0.648371,0.079278,1.171524,80.864951,16.681777,1.813237,0.670491,0.100378,1.181163,86.085564,20.25099,2.039891,0.645537,0.045158,1.068786,76.14163,11.84807,1.407644,0.64971,0.059883,1.106207,75.837643,14.711075,1.717803,0.734099,0.328196,1.303323,112.700101,40.345876,2.981281,0.648908,0.062827,1.072214,76.705352,15.008552,1.722254,0.66505,0.088012,1.128985,86.854113,18.120487,1.84103,0.635488,0.03908,1.059272,73.050883,10.224249,1.259027,0.649698,0.069384,1.083428,80.786332,16.300836,1.805397
S24,0.73413,0.20843,1.286201,88.479417,26.878763,2.536627,0.689126,0.099246,1.146054,86.801057,19.283107,1.943957,0.685177,0.094934,1.156735,85.747325,18.254232,1.872837,0.681468,0.084006,1.126745,81.068189,16.670618,1.789863,0.664614,0.093399,1.14286,81.421215,18.913281,2.026931,0.742837,0.268827,1.290553,105.323052,33.697832,2.721803,0.695102,0.098927,1.138875,86.67835,19.367778,1.921975,0.692994,0.097332,1.139487,84.539694,19.257951,1.981664,0.676913,0.057522,1.090748,73.214084,12.295865,1.52803,0.669157,0.074165,1.119631,74.87671,15.380575,1.826473
S25,0.725745,0.216009,1.203606,102.972819,31.302686,2.511762,0.687614,0.107893,1.111121,98.079927,21.353656,1.874632,0.679121,0.098778,1.174845,89.474414,18.270927,1.76436,0.664385,0.055527,1.102783,81.199525,12.384827,1.384532,0.671196,0.081125,1.123528,85.379478,16.687904,1.71535,0.729713,0.224141,1.271112,102.287328,29.157614,2.394825,0.6953,0.116009,1.141523,91.483602,21.365791,2.012147,0.680437,0.087619,1.076455,82.939338,19.29686,2.061525,0.652772,0.060281,1.085553,81.324618,14.418329,1.555402,0.661474,0.073285,1.108137,89.112409,15.761406,1.580091
S26,0.739037,0.296773,1.314945,100.394179,34.455262,2.909133,0.674906,0.061291,1.089008,81.29305,13.987019,1.529903,0.677655,0.079066,1.114323,76.581716,16.499768,1.889198,0.6833,0.091434,1.121619,78.13602,17.70051,2.0051,0.663,0.080231,1.096066,74.930973,17.357441,2.074641,0.730024,0.277002,1.308875,97.811044,34.521385,2.99713,0.672918,0.059364,1.113492,75.259062,12.849472,1.527495,0.677693,0.088145,1.153057,76.839602,17.751342,2.025088,0.66837,0.090056,1.161627,81.642026,17.519904,1.851509,0.657146,0.075771,1.08588,74.929404,17.357897,2.059804
S27,0.717331,0.247475,1.214676,117.408393,34.988464,2.470157,0.644462,0.086746,1.112005,88.193095,18.276658,1.843214,0.666194,0.087889,1.101842,86.152808,18.602668,1.855753,0.624847,0.052512,1.049126,79.880311,13.567058,1.467048,0.636522,0.06689,1.128883,78.739576,14.565152,1.617514,0.70979,0.266883,1.280578,110.707658,36.323405,2.722391,0.660196,0.110022,1.150075,95.703345,22.162001,1.951668,0.640555,0.079297,1.115672,94.268562,18.039879,1.690617,0.628699,0.049655,1.04229,78.561595,13.355875,1.516583,0.629453,0.035539,1.019868,74.534451,10.11884,1.193377
S28,0.753233,0.322277,1.436619,111.986874,38.574974,2.883633,0.656307,0.02569,1.098281,74.750117,7.723755,0.961211,0.658345,0.042048,1.103333,80.573937,12.118557,1.338395,0.679357,0.100638,1.238266,84.949756,20.36307,2.056261,0.693077,0.119354,1.2764,84.967363,21.219643,2.10493,0.752909,0.359152,1.341476,121.152947,43.02391,2.883263,0.63974,0.022935,0.97498,70.683733,7.955931,1.00797,0.640903,0.031187,1.083144,77.437631,8.176278,0.937647,0.708787,0.090317,1.214291,79.88557,16.033755,1.769808,0.690621,0.124375,1.13649,89.073073,24.810127,2.379278
S29,0.7251,0.279034,1.382684,93.646186,35.090126,3.20528,0.649111,0.054888,1.165201,72.790451,12.906278,1.573071,0.660616,0.048012,1.106898,74.138563,12.721768,1.561243,0.677223,0.114083,1.213933,83.379434,21.289682,2.282727,0.668573,0.091373,1.2182,78.674976,17.992146,2.046175,0.740523,0.301623,1.385504,97.722789,34.498703,2.99599,0.665427,0.0498,1.118392,75.083118,11.33758,1.356452,0.658502,0.046012,1.071855,70.042451,11.464968,1.474404,0.677904,0.10939,1.141057,82.026024,22.000472,2.370842,0.662439,0.09298,1.108221,79.29507,20.698278,2.27648
S30,0.773656,0.379669,1.476897,114.343983,43.318698,3.030448,0.67569,0.042771,1.13809,74.116025,11.620693,1.407846,0.699191,0.049987,1.246812,81.696919,10.513506,1.133435,0.712754,0.083512,1.2318,84.696762,16.913239,1.765773,0.693535,0.087194,1.259773,84.748975,17.633865,1.813496,0.766837,0.34997,1.398162,115.735766,41.558689,2.834413,0.665764,0.029453,1.069058,76.482552,8.574695,1.01229,0.683254,0.053817,1.187681,75.332157,11.785442,1.393388,0.691708,0.100291,1.174287,85.204377,21.408155,2.155583,0.694477,0.090039,1.238188,80.351565,16.673018,1.786395
S31,0.7748,0.323044,1.357299,106.718566,36.752137,2.868357,0.680236,0.026063,1.087925,65.335766,6.54961,0.91741,0.706524,0.107834,1.178436,80.984399,19.583798,2.055463,0.698793,0.086141,1.141064,81.331803,17.23337,1.83482,0.690295,0.095748,1.125362,84.013312,19.881085,2.04385,0.773457,0.354784,1.377049,104.269521,38.631725,3.038033,0.673753,0.028497,0.997717,72.647147,8.339518,1.020408,0.706039,0.082773,1.141527,81.273691,16.052876,1.750928,0.709947,0.077758,1.141846,75.366261,15.180891,1.727737,0.708991,0.108868,1.134461,84.282458,21.794991,2.237941
S32,0.74183,0.29016,1.372334,108.345232,35.89502,2.768223,0.675321,0.072327,1.170286,84.368658,16.114593,1.708053,0.682877,0.073969,1.215753,81.178524,15.261744,1.696273,0.649052,0.045843,1.137582,76.042512,11.54408,1.354662,0.680684,0.114045,1.235925,90.874097,21.184564,1.978985,0.737337,0.286203,1.348267,103.528519,37.023204,2.91797,0.680903,0.09052,1.205906,81.366608,17.204351,1.809141,0.670922,0.071373,1.211574,74.622866,15.084738,1.809141,0.658503,0.050613,1.110499,73.827541,12.713012,1.529016,0.690041,0.096196,1.226413,81.033632,17.974695,1.92586
S33,0.757049,0.294949,1.356778,99.564564,33.088404,2.82434,0.689739,0.049053,1.075751,74.645566,11.825488,1.423651,0.681558,0.089232,1.145611,86.762754,17.777268,1.791045,0.685982,0.105837,1.159955,81.503433,18.952928,2.055109,0.679739,0.090838,1.133551,77.442154,18.355913,2.135476,0.767354,0.319927,1.347079,107.56989,36.113394,2.796038,0.665351,0.047316,1.121545,78.00363,11.23893,1.243951,0.690203,0.087687,1.178213,81.753478,16.757966,1.780334,0.681477,0.078368,1.119344,77.373898,16.397334,1.871633,0.685585,0.097026,1.126938,78.710371,19.492377,2.145531
S34,0.736349,0.321964,1.343337,101.365335,37.656923,3.126757,0.65952,0.054565,1.133222,79.106047,11.944913,1.358441,0.671608,0.069116,1.118803,78.193664,15.50965,1.744894,0.666289,0.076923,1.076177,79.298142,17.865842,2.00253,0.641193,0.070189,1.097775,76.210108,17.022672,1.955687,0.725736,0.291987,1.316835,97.675845,36.134454,3.139589,0.672247,0.056541,1.093822,74.39963,13.001867,1.563959,0.674075,0.092811,1.153816,81.978972,18.403361,2.00747,0.669612,0.076936,1.141109,72.136267,15.280112,1.92577,0.647955,0.075846,1.102322,82.437612,17.180205,1.867414
S35,0.759307,0.363492,1.367757,112.307195,41.302832,3.057144,0.692061,0.084788,1.159746,84.310176,17.08746,1.766867,0.670649,0.087346,1.09073,88.521151,19.923746,1.952853,0.669914,0.051361,1.122374,73.066536,11.293997,1.406519,0.653321,0.043507,1.088376,68.479652,10.391965,1.394895,0.767467,0.370336,1.399723,115.220025,39.861047,2.836962,0.695421,0.063755,1.116126,75.294087,13.469199,1.586383,0.70854,0.116422,1.159007,87.522406,21.866605,2.153775,0.676901,0.057274,1.07573,78.574858,13.274664,1.493747,0.618478,0.037123,1.035775,73.108433,11.528485,1.459009
S36,0.707229,0.254505,1.280987,99.01089,34.698309,2.941176,0.648147,0.091257,1.148283,84.05595,19.661702,2.044938,0.65497,0.082014,1.11432,81.426233,18.03585,1.918707,0.649094,0.06444,1.149469,76.390159,13.531936,1.565261,0.618051,0.058627,1.114414,77.10025,14.072204,1.666246,0.710611,0.256892,1.29054,99.07837,34.229817,2.912763,0.650454,0.076017,1.118597,82.788677,17.073644,1.759794,0.660057,0.116016,1.181838,88.807714,22.491383,2.111753,0.62033,0.051749,1.083846,80.301078,12.898684,1.395699,0.618282,0.048317,1.018963,75.066895,13.306471,1.589883
S37,0.728698,0.269627,1.278769,100.061742,35.352375,3.002249,0.651877,0.068549,1.114979,78.178274,15.434668,1.710444,0.669204,0.08497,1.15228,81.304286,17.362806,1.925745,0.653563,0.055554,1.104314,75.982493,12.941964,1.519066,0.675035,0.096908,1.164785,81.465185,18.908186,1.997512,0.719826,0.26102,1.282087,99.442923,34.420432,2.910118,0.653747,0.066223,1.119241,78.089605,15.348723,1.731336,0.67158,0.08516,1.138967,80.158804,17.942043,2.026031,0.648644,0.063956,1.106947,73.179476,14.543222,1.743615,0.655214,0.088154,1.153171,86.748369,17.74558,1.768173
S38,0.731516,0.243802,1.228004,92.650295,31.743111,2.984617,0.677203,0.099795,1.140415,79.735064,18.582484,2.029068,0.660614,0.080264,1.087418,74.762799,17.152699,2.005474,0.666216,0.088349,1.100009,72.201666,17.822763,2.217818,0.659202,0.069682,1.090366,72.640202,14.698943,1.804926,0.730026,0.252726,1.23933,99.127401,31.688545,2.774105,0.676018,0.098485,1.10452,83.581285,19.019737,1.971385,0.666401,0.071579,1.05276,79.601653,15.530267,1.747096,0.651691,0.078322,1.084535,79.763406,15.955237,1.78251,0.659307,0.085139,1.078243,82.11848,17.806214,1.947776
S39,0.718089,0.216692,1.220403,96.193411,29.670707,2.588703,0.637199,0.080102,1.061685,80.358819,19.296265,2.097954,0.683291,0.140092,1.15471,91.431729,25.2785,2.429209,0.615087,0.054703,1.055541,74.152716,13.780242,1.656279,0.637453,0.050089,1.065471,75.897682,11.974285,1.410904,0.683079,0.203326,1.141626,93.752504,30.746372,2.748749,0.650474,0.077685,1.048575,80.105704,16.611361,1.820118,0.663997,0.131429,1.090022,86.992589,24.045367,2.352533,0.618817,0.060172,0.994618,73.849016,14.937348,1.782973,0.624861,0.053269,0.993171,74.542611,13.659551,1.634392
