subject_number,even_120s_m2_cor,even_120s_m2_gev,even_120s_m2_gfp,even_120s_m2_duration,even_120s_m2_coverage,even_120s_m2_occurrence,even_120s_m5_cor,even_120s_m5_gev,even_120s_m5_gfp,even_120s_m5_duration,even_120s_m5_coverage,even_120s_m5_occurrence,even_120s_m3_cor,even_120s_m3_gev,even_120s_m3_gfp,even_120s_m3_duration,even_120s_m3_coverage,even_120s_m3_occurrence,even_120s_m1_cor,even_120s_m1_gev,even_120s_m1_gfp,even_120s_m1_duration,even_120s_m1_coverage,even_120s_m1_occurrence,even_120s_m4_cor,even_120s_m4_gev,even_120s_m4_gfp,even_120s_m4_duration,even_120s_m4_coverage,even_120s_m4_occurrence,odd_120s_m2_cor,odd_120s_m2_gev,odd_120s_m2_gfp,odd_120s_m2_duration,odd_120s_m2_coverage,odd_120s_m2_occurrence,odd_120s_m5_cor,odd_120s_m5_gev,odd_120s_m5_gfp,odd_120s_m5_duration,odd_120s_m5_coverage,odd_120s_m5_occurrence,odd_120s_m3_cor,odd_120s_m3_gev,odd_120s_m3_gfp,odd_120s_m3_duration,odd_120s_m3_coverage,odd_120s_m3_occurrence,odd_120s_m1_cor,odd_120s_m1_gev,odd_120s_m1_gfp,odd_120s_m1_duration,odd_120s_m1_coverage,odd_120s_m1_occurrence,odd_120s_m4_cor,odd_120s_m4_gev,odd_120s_m4_gfp,odd_120s_m4_duration,odd_120s_m4_coverage,odd_120s_m4_occurrence
S1,0.666782,0.103226,1.229977,77.649264,19.744854,2.12018,0.675195,0.072682,1.187371,85.885067,15.076834,1.576544,0.720254,0.253454,1.355438,98.563492,32.255726,2.772543,0.619859,0.05229,1.098388,71.482147,14.670919,1.830241,0.66701,0.088447,1.206484,88.597959,18.251667,1.830241,0.674253,0.108172,1.246558,81.695918,18.953002,2.071266,0.653933,0.067014,1.13564,77.682794,15.404355,1.75966,0.709094,0.256632,1.342075,102.637075,34.511328,2.804458,0.623197,0.050247,1.105336,72.822868,14.011291,1.77799,0.656665,0.081573,1.183222,82.21529,17.120023,1.869639
S2,0.700067,0.15033,1.31341,102.773459,24.646093,2.052661,0.675022,0.059136,1.170406,88.267468,13.866082,1.362542,0.749616,0.193844,1.387334,106.196668,24.469139,1.946489,0.663456,0.074411,1.205535,81.049658,15.486976,1.645668,0.662536,0.102545,1.240156,100.975206,21.53171,1.787231,0.725228,0.150332,1.285637,95.966504,22.742643,1.942586,0.684626,0.062169,1.229315,82.36706,12.900209,1.349018,0.729728,0.168312,1.274559,91.785836,24.793151,2.230376,0.672611,0.122658,1.286942,86.089199,19.605727,1.870638,0.660922,0.079962,1.143273,92.535481,19.95827,1.816677
S3,0.679321,0.089077,1.173194,83.388688,17.524025,1.801865,0.684523,0.073301,1.113817,80.438645,16.075466,1.7842,0.762836,0.298836,1.365282,102.914555,33.422838,2.720464,0.664237,0.068571,1.094305,83.496912,16.040136,1.748869,0.681784,0.07915,1.110764,84.615136,16.937535,1.731204,0.675913,0.074625,1.115785,78.086963,14.674332,1.682675,0.706589,0.097347,1.170619,81.810732,17.009044,1.805371,0.749829,0.320826,1.318952,110.389712,37.088971,2.786931,0.648484,0.06413,1.040243,75.21419,16.595387,1.963121,0.667157,0.06053,1.083958,82.521759,14.632265,1.595036
S4,0.658301,0.109278,1.202098,80.944647,21.564679,2.32378,0.669594,0.07469,1.155911,85.78737,15.460883,1.607281,0.698205,0.211054,1.273732,94.457883,30.805577,2.865995,0.627513,0.052109,1.05134,73.229377,14.593338,1.820294,0.654578,0.076199,1.124952,85.218415,17.575523,1.80093,0.676175,0.109196,1.122717,83.3379,23.417913,2.435433,0.67708,0.082427,1.189476,94.070244,16.198459,1.472587,0.726866,0.245707,1.338046,96.890227,30.765745,2.775261,0.621697,0.04877,1.097188,68.133196,13.185319,1.774656,0.640758,0.067251,1.121943,81.447744,16.432563,1.793536
S5,0.674043,0.13771,1.307919,81.906537,22.991168,2.461271,0.653249,0.077615,1.207973,75.424841,16.751122,1.990734,0.705448,0.203107,1.334478,95.867317,28.029535,2.479369,0.647714,0.070044,1.122792,80.030256,17.771826,1.936441,0.646796,0.058833,1.164708,77.573956,14.456349,1.664978,0.675575,0.10043,1.14831,86.862292,20.094664,2.025961,0.648385,0.091342,1.216699,84.057462,17.900172,1.864601,0.72781,0.214918,1.299086,100.522924,29.331612,2.438325,0.668641,0.086115,1.134284,87.323341,19.176707,1.900459,0.629634,0.06151,1.186786,77.754991,13.496845,1.523953
S6,0.691665,0.100531,1.115879,89.647089,19.382345,1.809258,0.682824,0.069332,1.075846,80.530598,14.946976,1.61221,0.754657,0.261513,1.291579,100.856651,30.495844,2.507882,0.670534,0.052463,1.055823,81.628149,12.725709,1.361422,0.682851,0.119241,1.145881,88.736578,22.449126,2.167527,0.678351,0.087135,1.015064,88.39592,17.125117,1.696628,0.695591,0.128777,1.07936,101.012244,21.897336,1.822973,0.728544,0.142996,1.10735,90.633054,20.937116,2.075662,0.664582,0.069254,0.972064,78.936365,16.251534,1.768825,0.69154,0.141458,1.111006,95.107708,23.788896,2.093712
S7,0.674392,0.062736,1.094361,70.678809,13.710571,1.717515,0.682709,0.090875,1.150541,84.340318,18.490064,1.902194,0.728551,0.264594,1.315102,98.455875,32.843318,2.788653,0.649911,0.089478,1.134203,80.63944,19.627687,2.142277,0.635871,0.059761,1.092517,85.487,15.328359,1.58824,0.648809,0.053258,1.103354,76.604001,11.914048,1.361395,0.685483,0.115726,1.151427,82.828252,21.590993,2.244462,0.724558,0.260968,1.270744,94.741323,34.785488,3.053941,0.670394,0.0804,1.088259,79.636513,18.205902,1.968504,0.669724,0.062156,1.123565,77.502614,13.503569,1.52697
S8,0.70795,0.148234,1.237309,84.841345,22.824384,2.350093,0.683335,0.077959,1.184352,78.716608,14.919527,1.709158,0.740416,0.232586,1.293934,90.079929,29.888905,2.902008,0.66505,0.087427,1.091265,78.662075,21.058254,2.332289,0.667348,0.045261,1.105278,68.594245,11.30893,1.495513,0.68883,0.130461,1.276795,86.27174,20.968081,2.069449,0.664916,0.070718,1.12464,79.566096,15.208699,1.68362,0.733131,0.239601,1.295934,97.493118,32.486847,2.823571,0.654005,0.083838,1.161216,80.673056,18.323395,1.964223,0.623952,0.044758,1.072484,75.474201,13.012978,1.543318
S9,0.689485,0.155543,1.368752,91.422217,26.519259,2.341384,0.65016,0.047314,1.106518,83.706066,13.055419,1.373143,0.746271,0.253808,1.416042,104.569875,32.624463,2.570242,0.673545,0.104814,1.320401,81.347248,20.026759,2.182945,0.67378,0.023536,1.067796,69.77754,7.7741,1.021055,0.705341,0.180141,1.347418,94.080279,26.299457,2.450808,0.686556,0.060912,1.053638,93.255387,16.355173,1.533959,0.729771,0.265651,1.389536,112.459321,33.754143,2.486071,0.667938,0.06804,1.211909,77.78049,14.225263,1.622117,0.662269,0.024318,0.971392,83.603316,9.365964,1.005007
S10,0.62838,0.061501,1.087003,83.302047,16.296409,1.673767,0.663808,0.103493,1.281214,82.620556,17.627815,1.825928,0.707199,0.202805,1.318199,88.892882,29.52678,2.795953,0.640068,0.072725,1.104843,75.613128,18.190809,2.16829,0.623085,0.075932,1.166144,90.310146,18.358186,1.768868,0.653532,0.065524,1.117557,73.781417,14.71456,1.788612,0.647335,0.072069,1.094148,80.333068,16.942027,1.862369,0.714762,0.238909,1.309987,99.959546,31.199292,2.61838,0.638795,0.096801,1.15374,80.113468,20.179968,2.212716,0.638631,0.071507,1.108963,82.610452,16.964154,1.807051
