subject_number,even_300s_norm_FromM4_ToM3,even_300s_norm_FromM4_ToM1,even_300s_norm_FromM4_ToM5,even_300s_norm_FromM4_ToM2,even_300s_norm_FromM3_ToM4,even_300s_norm_FromM3_ToM1,even_300s_norm_FromM3_ToM5,even_300s_norm_FromM3_ToM2,even_300s_norm_FromM1_ToM4,even_300s_norm_FromM1_ToM3,even_300s_norm_FromM1_ToM5,even_300s_norm_FromM1_ToM2,even_300s_norm_FromM5_ToM4,even_300s_norm_FromM5_ToM3,even_300s_norm_FromM5_ToM1,even_300s_norm_FromM5_ToM2,even_300s_norm_FromM2_ToM4,even_300s_norm_FromM2_ToM3,even_300s_norm_FromM2_ToM1,even_300s_norm_FromM2_ToM5,odd_300s_norm_FromM4_ToM3,odd_300s_norm_FromM4_ToM1,odd_300s_norm_FromM4_ToM5,odd_300s_norm_FromM4_ToM2,odd_300s_norm_FromM3_ToM4,odd_300s_norm_FromM3_ToM1,odd_300s_norm_FromM3_ToM5,odd_300s_norm_FromM3_ToM2,odd_300s_norm_FromM1_ToM4,odd_300s_norm_FromM1_ToM3,odd_300s_norm_FromM1_ToM5,odd_300s_norm_FromM1_ToM2,odd_300s_norm_FromM5_ToM4,odd_300s_norm_FromM5_ToM3,odd_300s_norm_FromM5_ToM1,odd_300s_norm_FromM5_ToM2,odd_300s_norm_FromM2_ToM4,odd_300s_norm_FromM2_ToM3,odd_300s_norm_FromM2_ToM1,odd_300s_norm_FromM2_ToM5
S1,1.226993557,0.79650673,1.261859349,0.768121276,0.93901843,0.874653458,1.037461649,1.14436156,1.044695469,1.194333714,0.645596513,0.954456039,1.190738523,0.906340155,1.035069039,1.020864097,0.78373833,1.193756348,1.119340578,0.865408,1.141751339,0.757565674,1.002045339,1.085974836,1.026799951,1.193184443,0.970602124,0.909010478,1.028274313,1.118751508,0.796414684,0.867659423,1.059251096,1.146788194,0.802253073,1.074075735,0.910635025,1.072438415,0.879003703,1.072543618
S2,1.035614307,1.013991095,1.108654695,0.913668669,1.031028178,1.047020297,0.961820651,1.043831902,0.941394747,1.078245045,0.874888889,1.043762791,1.383080722,0.844177009,0.948628176,0.959863302,0.807095667,1.383531829,0.824470865,0.861795769,1.014789718,0.806317498,1.228878648,1.09989659,0.865083261,1.078355202,1.059131205,1.063838478,0.871230295,1.224359139,0.886999314,1.063259225,1.438790206,0.956206629,0.612486399,0.878894266,0.990221562,1.084885315,1.183907597,0.664454558
S3,1.130641641,1.038423274,0.921303075,0.918199878,1.01146157,0.884728126,1.063845153,1.074548088,0.801909812,1.086454283,1.033893717,0.865669428,1.282069816,1.104550075,0.654170252,0.971756899,0.849605011,1.212104931,0.991863048,0.965099458,1.206719011,0.78448061,0.956276453,0.89737825,0.921348477,1.189589234,0.899288758,1.128462291,0.853699325,1.287166946,0.733885215,0.853605366,1.170681671,1.091044781,0.839355839,1.026712997,0.758563587,1.070541376,0.88860071,1.232503567
S4,1.135636772,1.008406876,1.028817064,0.989691388,0.860695957,0.873796552,1.11484269,1.061678954,0.980491157,0.974024933,0.916133123,1.093519149,1.140090982,1.106296201,1.024459187,0.839199369,0.913383563,1.161048023,0.905394546,0.84417614,0.964734703,1.024952598,1.212476611,0.931820642,1.055271529,0.835659289,1.093090435,1.052321548,0.844067776,0.88251728,0.961749194,1.18191034,1.151413911,0.961864784,0.89416076,1.126392474,0.861023861,1.22544005,0.970779921,0.686748501
S5,1.106404367,1.19080578,1.12918593,0.60136759,1.058440743,1.093731085,0.921476555,1.138087177,0.717608786,1.138687521,0.837571789,1.100290362,1.153055695,0.985193706,0.942527347,1.022495743,0.887484575,1.130862696,0.862218249,0.98876637,1.1000011,1.028520174,1.049842043,0.854036169,1.129620519,0.895868694,0.946522107,1.002288187,0.909209358,1.115298527,0.950536869,1.025976923,0.890769755,1.147317412,0.930150638,1.040648889,0.747822429,1.212189282,1.027478396,1.01881509
S6,1.088123393,0.920721898,1.148258445,0.941508826,0.931260964,0.845269347,1.083913063,1.134460836,1.031904616,0.93712172,0.8378681,0.985658666,1.376167333,1.054213445,0.822963434,0.876321496,0.921683828,1.284057858,0.952991429,0.842081658,0.991146259,0.878028721,1.087220222,0.910487316,0.967873731,1.022455654,1.015481828,1.148999926,0.871850325,1.016639466,0.879013011,1.09321563,1.161165323,1.200050781,0.817763123,0.873593514,1.146362778,1.163411111,0.886829338,0.784671627
S7,0.885624502,1.051202452,1.113957786,0.920827287,1.002910257,1.060787387,1.061663471,0.851783919,0.902834482,1.144874684,0.829704042,1.035836646,1.044891057,1.277456058,0.872818004,0.806901452,1.017024871,1.174344058,0.830546058,1.070430265,1.021714228,0.975092612,1.312181224,0.784989041,1.131281368,1.043935186,0.827678637,1.060307656,0.940309925,1.22291716,0.874196015,0.764900262,1.075613129,0.973734749,0.982845692,1.128240495,0.693580294,1.276770868,0.870003469,1.066780362
S8,1.219885227,0.952938922,1.162095902,0.789577146,0.838114399,0.983214382,0.979366453,1.133445242,0.844420364,1.052459917,0.888209521,1.157842228,1.53781888,0.98057487,0.844272395,0.869696905,0.745211268,1.191437651,1.094688697,0.8642,1.268355654,0.774939025,1.066088868,0.991463487,0.784441774,1.13122443,0.918920994,1.085471611,0.897228916,1.10074518,0.968694767,1.026400073,1.086843157,1.003611576,1.045717673,0.928338502,0.982924336,1.078716566,1.042241236,0.892857143
S9,1.396891915,0.748889434,1.606884608,0.78600595,0.998687839,0.982102692,0.782216789,1.024668264,0.875843233,1.093991765,0.776825262,1.258499486,1.486750061,0.901295701,0.777168339,1.040296104,0.651020251,1.116634101,1.096941432,0.892011382,1.311193073,1.114665912,1.256274366,0.622020988,0.953894897,1.025569187,1.032314174,0.97360146,0.651061664,1.064564934,0.664228024,1.249270721,1.254844607,0.96390184,0.836175682,1.110190427,0.756503744,1.253078502,0.988431748,0.880224412
S10,1.04815795,0.993331778,1.064950595,0.942644519,0.947036182,1.002536527,1.080665521,1.083206552,1.010960836,1.120470713,0.881716507,0.944946603,1.115461265,1.134557283,0.969074378,0.676393687,0.937985003,1.099515298,1.077973201,0.853693281,1.163272297,1.152563836,0.9285252,0.828573638,1.022957738,0.831151994,1.177720188,1.015854857,0.929003861,1.091041531,0.856346889,1.12764207,1.022967137,1.071164921,1.012304299,0.933657029,0.79059737,1.061666001,1.176696773,0.881511177
