subject_number,even_240s_norm_FromM4_ToM3,even_240s_norm_FromM4_ToM1,even_240s_norm_FromM4_ToM5,even_240s_norm_FromM4_ToM2,even_240s_norm_FromM3_ToM4,even_240s_norm_FromM3_ToM1,even_240s_norm_FromM3_ToM5,even_240s_norm_FromM3_ToM2,even_240s_norm_FromM1_ToM4,even_240s_norm_FromM1_ToM3,even_240s_norm_FromM1_ToM5,even_240s_norm_FromM1_ToM2,even_240s_norm_FromM5_ToM4,even_240s_norm_FromM5_ToM3,even_240s_norm_FromM5_ToM1,even_240s_norm_FromM5_ToM2,even_240s_norm_FromM2_ToM4,even_240s_norm_FromM2_ToM3,even_240s_norm_FromM2_ToM1,even_240s_norm_FromM2_ToM5,odd_240s_norm_FromM4_ToM3,odd_240s_norm_FromM4_ToM1,odd_240s_norm_FromM4_ToM5,odd_240s_norm_FromM4_ToM2,odd_240s_norm_FromM3_ToM4,odd_240s_norm_FromM3_ToM1,odd_240s_norm_FromM3_ToM5,odd_240s_norm_FromM3_ToM2,odd_240s_norm_FromM1_ToM4,odd_240s_norm_FromM1_ToM3,odd_240s_norm_FromM1_ToM5,odd_240s_norm_FromM1_ToM2,odd_240s_norm_FromM5_ToM4,odd_240s_norm_FromM5_ToM3,odd_240s_norm_FromM5_ToM1,odd_240s_norm_FromM5_ToM2,odd_240s_norm_FromM2_ToM4,odd_240s_norm_FromM2_ToM3,odd_240s_norm_FromM2_ToM1,odd_240s_norm_FromM2_ToM5
S1,1.200918462,0.740545505,1.11874544,0.899672519,0.983247411,1.039959721,0.941126594,1.031684881,1.039121363,1.29015471,0.703802685,0.799078239,1.06938897,0.983333555,1.07248914,1.11093068,0.900475,1.043233311,1.023488026,1.009535445,1.106974072,0.980462206,1.211166222,0.813390051,1.154813731,0.980072985,0.93107047,1.002047012,0.898062321,1.007556482,0.801736558,1.171439907,1.202737793,0.834154037,0.884645196,1.188574357,0.763584617,1.270998458,0.864058268,0.993299451
S2,1.09862721,1.007667644,1.157975269,0.847911294,0.871976935,1.015209125,1.202162385,1.021479291,0.948049523,1.145734438,0.812995109,1.131342632,1.23957338,1.062418234,0.657188344,1.008412095,0.990755499,1.15525487,1.087318525,0.558786649,1.065143155,0.996611845,1.223063012,0.952354517,0.961144093,1.072838801,0.928770451,1.125703565,0.862588882,1.219360809,0.814605877,0.976603831,1.594347736,0.798400006,0.698416987,0.867825793,0.939070666,1.166728546,0.949246775,0.846758242
S3,1.126112518,0.963379073,0.845741951,1.092176721,0.900283955,1.006200003,1.05292408,1.015076849,0.845978612,1.396866085,0.652257019,0.879491859,1.160145395,1.113730506,0.874472777,0.967209277,0.887139064,1.047576448,0.991505462,1.077728415,1.192211406,0.916540237,1.120852155,0.703852057,1.007421191,1.051184238,0.874733054,1.214306865,0.934093649,1.217605423,0.987177095,0.690512642,1.173077607,1.019414774,0.779697742,1.056174944,0.703155833,1.106207419,1.093399937,1.087109373
S4,1.008261243,1.013504908,1.278167516,0.781512217,0.945127866,0.769845459,1.09604656,1.06852868,1.176346491,0.863697469,0.863983032,1.148580525,1.077673988,1.047245554,0.882971519,1.220241337,0.868141871,1.124832317,1.000091796,0.805412855,1.07789412,0.937524626,1.271342292,0.95399795,1.009833076,0.944669629,0.947313507,1.079503476,0.7305123,1.080941395,0.731338182,1.115585808,1.47192128,0.790438296,0.996878438,1.095083611,0.884137158,1.197682823,0.927787147,0.710163247
S5,0.969313337,0.976084689,1.243385537,0.825060921,1.089498863,1.025346906,0.853721423,1.057707218,0.88871587,1.212306516,1.021239803,0.947323149,0.99378832,1.032863939,0.939795894,1.045195155,0.691314671,1.220948191,0.980637813,0.951296,1.211308926,1.006365267,0.894131756,0.877838529,1.066889951,1.079309866,0.987999628,0.969998643,0.760536354,0.956799596,0.854686245,1.289506743,0.920791321,1.136549617,0.918336199,0.982057933,0.98527928,1.138528492,0.960440444,0.959619174
S6,1.03771026,0.843838025,1.168207658,0.879934381,0.983633423,1.13884364,0.970024114,1.124086501,0.929602379,0.97297215,0.885786869,0.997957319,1.122085777,1.102722948,0.755220106,0.999555686,0.984622284,1.404118787,0.891505118,0.712750103,0.970427525,0.987340025,1.000350685,1.033990143,0.981670497,0.94182157,1.081358699,0.993535067,0.973295379,1.011832873,0.801066635,1.137465044,1.26232393,1.088925592,0.951090907,0.772640909,1.206406381,1.087516955,0.831529064,0.947794004
S7,0.915984814,1.006184781,1.321635161,1.095828649,1.043567581,1.06074657,0.881233337,0.979764191,0.891149939,1.149548342,0.85004635,0.809517733,1.032972432,1.183071866,0.919324207,0.887632195,0.906761529,1.133123602,0.88876594,1.2393854,0.943869274,0.948832314,1.150785635,0.810967628,1.13021535,1.059651878,0.951490045,0.916453305,0.986357049,1.15805512,0.796198901,0.968812456,0.948479334,1.125305612,0.951745869,1.117928609,0.858808789,1.371623763,0.773386136,0.96431993
S8,1.313050222,0.794608673,0.924547926,0.955395573,0.826122153,1.208818105,0.940531927,1.02716287,1.079444882,0.974395095,0.86252285,1.07874895,1.31246982,0.969284686,0.758503704,1.083090415,0.776349244,1.207971312,1.018595041,0.893614576,1.247156177,0.858699227,1.246494764,0.837847179,0.856079475,0.97425442,0.898911837,1.196383612,0.643212145,1.161352673,0.881817112,1.182185484,1.501988072,1.0139393,0.827160249,0.728974141,0.914842946,1.042123156,1.213772246,0.875617993
S9,1.191703991,0.914712469,1.543911178,0.713344732,0.787803241,1.020999458,1.05260648,0.977832239,0.698452989,1.216556616,0.553023764,1.19685054,1.444115597,0.928276177,0.995983917,1.045598013,0.857368791,1.139215441,1.047997858,0.824806202,1.217444038,1.330592609,1.162159853,0.72268235,1.186430971,0.882295367,0.844640412,1.090443499,0.772660968,1.037892694,0.746625864,1.310611823,1.452931544,0.837840319,0.946845486,1.079535049,0.613553584,1.138846656,0.93658602,1.016358856
S10,1.286367868,1.065015677,0.899524153,0.769899066,0.95667005,0.854048215,1.134283571,1.140072165,1.06030625,0.975214723,0.807777124,1.005707763,1.058362893,1.116085553,1.010277816,0.810811896,0.871253213,1.102526197,1.181848595,0.869297835,0.960766552,0.931206467,1.086407545,1.086407545,1.004374243,1.087824502,1.190682619,0.848159781,0.920148264,1.094544159,0.922636808,1.066161327,1.057525891,1.164408283,0.952695937,0.844378246,0.827045143,1.036071206,1.158992574,0.864466633
