subject_number,even_60s_norm_FromM4_ToM3,even_60s_norm_FromM4_ToM1,even_60s_norm_FromM4_ToM5,even_60s_norm_FromM4_ToM2,even_60s_norm_FromM3_ToM4,even_60s_norm_FromM3_ToM1,even_60s_norm_FromM3_ToM5,even_60s_norm_FromM3_ToM2,even_60s_norm_FromM1_ToM4,even_60s_norm_FromM1_ToM3,even_60s_norm_FromM1_ToM5,even_60s_norm_FromM1_ToM2,even_60s_norm_FromM4_ToM4,even_60s_norm_FromM4_ToM3,even_60s_norm_FromM4_ToM1,even_60s_norm_FromM4_ToM2,even_60s_norm_FromM2_ToM4,even_60s_norm_FromM2_ToM3,even_60s_norm_FromM2_ToM1,even_60s_norm_FromM2_ToM5,odd_60s_norm_FromM4_ToM3,odd_60s_norm_FromM4_ToM1,odd_60s_norm_FromM4_ToM5,odd_60s_norm_FromM4_ToM2,odd_60s_norm_FromM3_ToM4,odd_60s_norm_FromM3_ToM1,odd_60s_norm_FromM3_ToM5,odd_60s_norm_FromM3_ToM2,odd_60s_norm_FromM1_ToM4,odd_60s_norm_FromM1_ToM3,odd_60s_norm_FromM1_ToM5,odd_60s_norm_FromM1_ToM2,odd_60s_norm_FromM4_ToM4,odd_60s_norm_FromM4_ToM3,odd_60s_norm_FromM4_ToM1,odd_60s_norm_FromM4_ToM2,odd_60s_norm_FromM2_ToM4,odd_60s_norm_FromM2_ToM3,odd_60s_norm_FromM2_ToM1,odd_60s_norm_FromM2_ToM5
S1,1.147262599,1.213275229,1.072084038,0.665177582,0.98206448,1.03880322,1.099085579,1.002020074,0.830859583,1.074043506,0.376369998,1.156493798,1.126266259,1.000936878,0.532966119,1.627974159,1.037737318,0.975608856,0.982144611,1.153845069,1.189243361,0.821603089,1.234789715,0.72859274,1.285205647,1.014495,1.108864952,0.771123388,1.031712781,0.871726969,1.017320623,1.444395954,0.916194322,0.967643588,1.162291686,1.030714303,0.804200706,1.098170244,0.906862981,0.770948253
S2,1.280620051,1.207444398,1.062265903,0.696938367,0.933719385,0.87599809,0.470968471,1.564286981,0.958604272,0.915999069,1.181937047,1.090476866,1.488375714,0.933333333,1.119997222,0.63492001,0.891221355,1.103226317,0.905806524,0.786676329,1.17517444,0.990697352,1.008945988,0.884151978,0.918967454,1.068565381,1.209164572,1.000324905,0.818605818,1.234964117,0.807835486,1.254938587,1.539474039,0.714611022,0.413095008,0.893740767,1.211541612,0.974803577,1.127010871,0.743926566
S3,1.007556076,0.702101163,1.190514386,0.912727218,1.040907671,1.216854418,0.982551164,0.903943831,0.799302653,1.141857166,1.061876732,0.683845568,1.438739139,0.734047151,0.76087,1.469564449,0.558544805,1.728832606,0.984615385,0.667824229,1.133331606,0.755557123,1.073683306,0.886954671,1.098792173,0.966534652,1.012048,1.134629301,0.955553119,1.421959512,0.754388268,0.623186292,0.894736171,1.011903027,1.325535381,0.58352366,0.578263819,1.032610382,0.749596075,1.623185836
S4,1.102614964,0.636468741,1.5532831,0.863447164,0.821593779,0.757473991,0.903756074,1.167151262,0.479096689,1.039162296,0.638793403,1.578190906,1.113820661,0.753006283,1.792982925,0.78622746,1.302518379,1.1300744,0.800572213,0.781512208,0.744643292,1.452963752,1.203462365,1.011243547,1.229657143,0.889166613,1.288836364,1.054853333,0.648082212,1.105793442,0.206205614,1.134144498,1.44949809,0.543559369,0.636363636,1.328702799,0.656083375,1.377774884,0.924118241,0.521880284
S5,1.308065041,0.779712588,1.193433101,0.668322938,0.615273109,0.978362589,1.026850908,1.123119155,0.93379703,1.130385355,0.876626203,1.314936029,0.944099415,1.071428071,0.723809355,1.163263135,1.293478203,1.013159082,1.01111214,0.857145,0.901081363,1.297558121,0.908293877,0.973169477,1.291652337,0.794365641,1.125353675,0.827466816,0.501463647,1.070831965,0.925197761,1.285000193,0.877561382,1.356387156,1.027997512,0.942333475,0.803249554,1.086343646,1.070335772,0.988000731
S6,1.09866684,1.139360939,1.025425139,0.884679991,0.963984951,0.972224239,1.002608234,1.115198186,0.930320766,0.980156227,0.57175864,1.255625297,1.186079022,1.2496205,0.996846874,0.738839474,1.246262712,0.962883929,0.907768519,0.919119792,1.054993573,0.229044786,1.305556339,0.910853158,1.143591628,1.08339593,0.892000981,1.356349021,0.73392086,0.900718013,1.321054402,0.92166477,1.150742893,1.231210461,1.006314624,0.555814936,0.953487736,1.213527748,0.903302864,0.800931848
S7,0.70749878,0.943333931,1.483469584,0.624266487,1.215000395,0.860623537,1.126814662,0.804042368,1.205416494,1.369790554,0.706991995,0.773526818,0.526207612,1.368147517,0.982256346,0.742883901,1.094698283,0.76628603,1.31363794,0.988756974,1.376176148,0.679487383,1.006644616,0.81538486,1.430383466,0.972658528,0.741677757,1.201519624,0.637498964,1.291138914,1.038887446,0.612001346,0.813425952,0.823721727,1.022595041,1.301481403,0.764998757,1.420252805,0.714001571,1.038887446
S8,1.143504892,0.637874286,1.205580292,1.151164151,0.900778409,0.774293651,1.036585,1.143292969,0.776332924,1.197636083,0.768569031,1.267609008,1.281821212,1.100488342,1.163810854,0.528750826,0.761364121,1.07240906,1.395831118,0.753750663,1.420515079,0.794670711,0.589362016,1.154165769,0.842630434,1.306010265,1.108292271,0.8511394,0.64,0.820511474,1.089360219,1.244444444,1.57979183,0.883796199,0.847573984,0.877660153,0.765626436,1.308763157,1.059880312,0.72399485
S9,1.448650763,1.723974667,0.729249163,0.241443001,1.227396606,1.022832306,0.688845714,1.161053043,0.845614993,1.028447765,0.862871336,1.199857354,1.01632609,0.686707785,0.891514791,1.3047421,0.605402863,1.063549433,0.796588122,1.420850286,1.023882645,0.617714017,1.482517213,0.957021555,1.398505014,0.947919948,0.933333333,0.948945695,0.303033333,1.13325189,0.752068186,1.498079296,0.928671302,0.930259608,1.131817076,0.956463644,0.84145846,1.303684908,0.969593468,0.775672309
S10,0.61978082,0.835416496,1.644311949,1.021068144,1.085711494,1.188087505,1.002193137,0.792056907,1.259953007,1.085496366,0.539982213,1.066898643,0.704705943,1.151022144,0.742592946,1.392362343,0.531269901,1.067990697,1.329607824,1.062539801,0.986301255,1.53846184,1.120000979,0.382981217,0.839110799,1.197048586,0.98556904,0.744974108,0.841626731,0.881979293,1.001540081,1.293780683,0.958429868,1.081644873,0.915895385,1.1999976,1.034628851,1.264935197,0.761045733,1.055320644
