subject_number,even_180s_norm_FromM4_ToM3,even_180s_norm_FromM4_ToM1,even_180s_norm_FromM4_ToM5,even_180s_norm_FromM4_ToM2,even_180s_norm_FromM3_ToM4,even_180s_norm_FromM3_ToM1,even_180s_norm_FromM3_ToM5,even_180s_norm_FromM3_ToM2,even_180s_norm_FromM1_ToM4,even_180s_norm_FromM1_ToM3,even_180s_norm_FromM1_ToM5,even_180s_norm_FromM1_ToM2,even_180s_norm_FromM5_ToM4,even_180s_norm_FromM5_ToM3,even_180s_norm_FromM5_ToM1,even_180s_norm_FromM5_ToM2,even_180s_norm_FromM2_ToM4,even_180s_norm_FromM2_ToM3,even_180s_norm_FromM2_ToM1,even_180s_norm_FromM2_ToM5,odd_180s_norm_FromM4_ToM3,odd_180s_norm_FromM4_ToM1,odd_180s_norm_FromM4_ToM5,odd_180s_norm_FromM4_ToM2,odd_180s_norm_FromM3_ToM4,odd_180s_norm_FromM3_ToM1,odd_180s_norm_FromM3_ToM5,odd_180s_norm_FromM3_ToM2,odd_180s_norm_FromM1_ToM4,odd_180s_norm_FromM1_ToM3,odd_180s_norm_FromM1_ToM5,odd_180s_norm_FromM1_ToM2,odd_180s_norm_FromM5_ToM4,odd_180s_norm_FromM5_ToM3,odd_180s_norm_FromM5_ToM1,odd_180s_norm_FromM5_ToM2,odd_180s_norm_FromM2_ToM4,odd_180s_norm_FromM2_ToM3,odd_180s_norm_FromM2_ToM1,odd_180s_norm_FromM2_ToM5
S1,1.085791655,0.927928495,0.998323587,1.003454091,1.111319655,0.930671608,0.966268061,1.062500531,0.971282952,1.002075152,0.951724807,0.936046484,1.001955744,0.970296656,1.109003406,1.127425101,0.754243243,1.273762656,0.710594444,1.122692414,1.064182566,0.828583345,1.245935891,0.849165726,1.132608033,1.044286481,0.827587405,1.092530274,0.968096384,1.123930298,0.923385407,1.074177411,1.095328142,1.144472179,0.845348997,0.768162926,0.798077645,0.985507297,1.254280288,0.978710832
S2,1.173144659,0.882523626,1.160750712,0.966408303,1.135273605,0.94641599,1.04577951,1.047885952,0.803053192,1.150766945,1.029321882,0.918353925,1.570937966,0.882205579,0.752561079,1.014927358,0.596387739,1.191969267,1.142011236,0.751019079,1.125646982,1.077523184,1.194981497,0.961783771,0.873181559,1.165412922,1.082661788,0.900674267,0.845063586,1.09373326,0.568938976,1.308324819,1.35894979,0.857433809,0.542153529,1.025662167,1.203248344,1.104278668,0.888661004,0.797814208
S3,1.08777477,0.816232206,1.096759373,0.915193057,1.168926569,1.032001327,0.851446909,1.01507283,0.647114976,1.224487872,1.069993781,0.892859893,1.205921056,1.083894626,0.898376202,1.004195045,0.517014544,1.261325652,1.04332577,1.047910581,1.000753455,0.869511047,1.192176319,0.926511016,0.926822563,1.095436095,1.00097371,1.015901669,1.06324852,1.373361727,0.746404134,0.738280273,0.975418521,1.016060157,0.836348836,1.089555155,0.798142835,1.159201407,1.001102369,1.106042415
S4,0.996751125,0.948546457,1.170946352,1.132838986,0.982399239,1.013927022,0.925135312,0.990749265,0.814048468,1.168547935,0.667641152,1.177397961,0.994957602,0.944002651,1.213477944,1.042537121,1.009977593,1.096322182,0.787797845,0.887944319,0.894790718,0.943215538,1.347447523,1.155901204,0.903971992,0.734787432,1.287818339,1.017197264,0.825457895,1.022931777,0.793544975,1.055146159,1.3945016,0.998153149,0.676800628,1.125630871,0.857812363,1.163689364,1.103999449,0.684524209
S5,1.135357357,1.10555439,0.95653003,0.849225663,0.967269146,1.039629464,0.867283875,1.097404831,0.874588287,1.084957385,0.991959171,0.975860266,0.97075477,1.131995341,0.914659854,1.02461071,1.031547945,0.990707733,0.934095093,1.188847447,1.253090661,0.961313657,0.915034199,0.637794638,1.240159964,1.021739527,1.064188199,0.846154778,0.767843346,0.993641877,0.856557138,1.312710538,0.806657954,1.175484378,0.803761016,1.155408427,0.694128617,1.19368668,1.042931102,1.106180666
S6,1.012686933,0.9156249,1.06019379,1.176273441,0.977955418,1.031297346,0.945354719,1.104062593,0.841083583,0.98426709,0.999848467,1.068236545,1.476178406,1.091674832,0.792762347,0.590232627,0.990690158,1.236329834,0.857001487,0.885998388,1.002068447,0.869606892,1.287986595,0.752648954,0.83241996,1.225802181,0.815656973,1.18243082,0.883792929,0.957069682,1.018813101,1.107707178,1.327561219,1.21653938,0.619960481,0.894297587,1.044240441,1.325721986,0.79882129,0.859844339
S7,0.902102612,0.942501593,1.362784789,0.579727147,0.994662594,1.025052667,0.949445907,0.815440994,0.994730634,0.996476297,0.964351948,1.176208857,1.048663583,1.164188388,0.963921091,1.042077567,0.982240421,1.463670658,0.636636453,0.998361817,1.183865603,1.027861715,0.889125989,0.953456279,1.173238749,1.071114962,0.963757885,0.995294924,0.720463412,1.14967398,0.8764005,0.852822105,0.949689014,1.079192169,0.930338512,0.858453274,0.995152805,1.217474392,0.786398788,1.168800899
S8,1.335953449,0.642993933,1.243990582,0.841930486,0.822305066,1.0659387,1.016318923,1.106960319,0.824746581,1.087733919,0.875905782,1.111094936,1.413636778,0.930949245,0.902696707,0.882548292,0.698574528,1.147322847,1.235895215,0.801262287,1.165104984,0.913317448,1.04869961,0.903445958,0.73859219,1.146228728,0.946167306,1.085928931,1.051912891,1.030087512,0.93503304,1.091713144,1.146012903,1.157457261,0.862810929,0.825033514,0.803490691,1.188561577,1.020824153,0.92252245
S9,1.322299455,0.946831348,1.409802576,0.84587741,0.955127968,0.882025109,0.904727406,1.123608172,0.711467657,1.13729044,0.698761747,1.281054649,1.767763199,0.84698389,1.263503908,0.682292498,0.612572136,1.130790645,0.953893595,0.973312729,1.018346122,1.104350574,1.387466974,0.662820034,1.040772825,1.090622325,0.930838048,0.911050662,0.526149526,1.188979596,0.928395928,1.21173728,1.284955854,0.916965032,0.921291957,1.044459822,0.758788578,1.286032074,0.906737882,0.914517662
S10,1.10626565,0.880856665,1.023657101,0.994146961,1.036672222,1.151994177,1.078435597,0.897725768,0.923346061,1.251116812,0.880603915,0.916301341,0.890393114,1.06117765,0.963443526,1.126186054,0.969099437,0.790896222,1.140054186,0.951389641,1.076661628,1.060098565,1.191971752,0.749117591,0.87646763,1.023752734,0.997478025,0.985098094,1.031756584,0.911470107,0.886774707,1.134844707,1.216152533,1.061724428,0.96449687,0.851658411,0.515664429,1.233475845,1.138594652,1.128580434
S11,0.898226747,0.856679658,1.116127119,1.129143556,0.921494013,1.243636725,1.122603733,0.75491692,0.639351007,1.302609126,0.901866053,1.187226687,1.540334324,0.995216327,0.832362244,0.743438197,0.849405373,1.232374466,0.913755173,0.798776752,1.058538659,1.097203627,1.143802959,0.683229413,1.05062416,1.067796,0.911290436,1.025084816,0.971966224,1.293178458,0.756818939,0.966937063,1.139546385,1.078060466,0.666272601,1.084572097,0.528954763,1.151458983,1.146311926,1.080520379
