subject_number,even_120s_norm_FromM4_ToM3,even_120s_norm_FromM4_ToM1,even_120s_norm_FromM4_ToM5,even_120s_norm_FromM4_ToM2,even_120s_norm_FromM3_ToM4,even_120s_norm_FromM3_ToM1,even_120s_norm_FromM3_ToM5,even_120s_norm_FromM3_ToM2,even_120s_norm_FromM1_ToM4,even_120s_norm_FromM1_ToM3,even_120s_norm_FromM1_ToM5,even_120s_norm_FromM1_ToM2,even_120s_norm_FromM5_ToM4,even_120s_norm_FromM5_ToM3,even_120s_norm_FromM5_ToM1,even_120s_norm_FromM5_ToM2,even_120s_norm_FromM2_ToM4,even_120s_norm_FromM2_ToM3,even_120s_norm_FromM2_ToM1,even_120s_norm_FromM2_ToM5,odd_120s_norm_FromM4_ToM3,odd_120s_norm_FromM4_ToM1,odd_120s_norm_FromM4_ToM5,odd_120s_norm_FromM4_ToM2,odd_120s_norm_FromM3_ToM4,odd_120s_norm_FromM3_ToM1,odd_120s_norm_FromM3_ToM5,odd_120s_norm_FromM3_ToM2,odd_120s_norm_FromM1_ToM4,odd_120s_norm_FromM1_ToM3,odd_120s_norm_FromM1_ToM5,odd_120s_norm_FromM1_ToM2,odd_120s_norm_FromM5_ToM4,odd_120s_norm_FromM5_ToM3,odd_120s_norm_FromM5_ToM1,odd_120s_norm_FromM5_ToM2,odd_120s_norm_FromM2_ToM4,odd_120s_norm_FromM2_ToM3,odd_120s_norm_FromM2_ToM1,odd_120s_norm_FromM2_ToM5
S1,1.073256615,0.891580369,1.278593259,0.724379493,1.15647267,1.15647267,0.762002842,1.079269803,1.059406203,0.944118665,0.737930229,1.143160244,1.312049182,1.278564995,0.499828777,1.024756587,0.658796023,1.072731158,0.966234167,1.223695043,1.215556453,0.986053295,1.107022278,0.752387439,0.97532962,0.860186479,1.002859057,1.135980673,0.949649277,1.005516487,1.068357806,0.958060035,1.2312135,0.858114521,0.882733451,1.111360594,1.105674423,1.074961129,1.017336895,0.881083682
S2,0.883168381,0.80719835,1.261668385,1.027824984,1.180018259,1.067936941,0.722317126,1.198669409,0.918342945,1.153860441,0.824184571,1.010011467,1.148254488,1.220775669,0.787600065,0.89453383,0.956469047,0.979547057,1.078701623,1.01332184,1.319068029,1.123382606,1.05927702,0.605793352,0.681173981,0.974873287,1.110429962,1.307568545,1.036911661,1.248513571,0.607116281,0.96970605,1.840792659,0.481935453,0.702310436,1.045188987,0.937846449,1.180554774,0.95218997,0.918519437
S3,1.16923134,0.962894035,1.048698646,0.72688926,0.981711494,1.245113949,0.893015132,1.061116104,0.907647908,1.426997245,0.828880763,0.769459299,0.990506629,0.995242084,0.825685396,1.101925392,0.780462555,1.059536032,0.927093683,1.1611589,0.977814029,1.233910358,1.118103426,0.5998166,1.103051197,0.973047139,0.97453924,1.015722524,0.846546721,1.168508366,0.967900728,0.849660737,1.092503404,1.000428277,0.932036571,1.190938667,0.534684636,1.428067816,0.820588508,1.102242781
S4,0.846771442,1.142759301,0.862801739,1.491938617,0.944494624,0.86256383,1.139692771,0.929054167,0.823839876,1.274297393,0.781082506,0.834930704,1.390724293,0.64392797,1.086258505,1.134540866,1.097316846,1.169202613,0.802432174,0.801860086,0.930958163,1.152560542,1.388985858,0.751441796,1.005084547,0.94571995,1.0975074,1.046460235,0.841879158,0.854973461,0.512684938,1.461408774,1.343320333,1.012820561,1.055917685,0.989265796,0.819258837,1.217737997,0.910772172,0.848144525
S5,1.29308124,1.255994243,0.944070914,0.673750894,0.943427929,1.093321028,0.857665228,0.943430296,1.166906475,0.820927345,0.975956877,1.165270343,0.752569212,1.08294618,0.831944522,1.309092,0.834138486,1.176316456,0.788922562,1.255760401,1.276469107,0.643395861,1.013463867,0.823011739,0.905886174,1.089622747,0.874999428,1.115044546,0.673921326,1.123195982,1.009794,1.098347663,1.14932197,1.077488542,1.198115604,0.648401149,0.891071439,1.146599644,1.05078969,1.156676279
S6,0.943331364,0.919963884,1.251607142,0.846082255,1.091556619,1.059680501,0.930631348,0.988756268,0.616030577,1.35526127,0.527046127,1.34184186,1.288153629,1.312144603,0.512719434,0.771618625,1.214874929,1.015001015,1.031579219,0.816668754,1.016257414,0.936997654,1.157121335,1.021278334,0.937482377,1.066991587,0.828239967,1.290381014,0.919950887,1.060513416,0.754697723,1.027141003,1.436501197,0.93758259,0.850171735,0.729935387,0.966798802,1.25383702,0.708424897,1.216138572
S7,1.109196773,0.833002206,1.125757714,1.108280217,1.016711302,1.14460899,0.754579033,0.905360072,1.103045296,1.136788262,0.920987968,0.631442239,0.979481608,0.906505164,1.043862695,1.302025591,0.752316802,1.285411029,0.963384041,1.142081784,1.063914101,0.571345282,1.280585853,0.734341952,1.272904829,1.040764072,1.100041184,0.810322961,0.600159258,1.170306154,0.979929487,1.144356332,0.818488192,1.09984304,0.912671133,0.860657861,1.10582844,1.42836344,0.786311268,0.81502032
S8,1.097575592,0.735369125,1.361852008,0.99043674,1.166226082,0.888025902,0.956670219,1.020451444,0.534887984,1.102597013,0.808414136,1.26870565,1.193201267,0.976609974,1.260178268,0.803975714,0.764787906,1.133111362,1.164700409,0.920141113,1.286280724,0.870129932,1.078602376,0.722651477,0.784300108,1.155443756,1.018505568,1.121062544,1.038958545,0.908606374,0.857141333,1.239706859,1.073679853,1.104675263,0.843608129,0.753612099,0.828391207,1.225182443,1.110321491,0.848695203
S9,1.37435143,1.029751925,1.286250068,0.617187314,0.989492013,1.120524648,0.851948595,1.021990338,0.579396504,1.125276293,0.957398185,1.151042446,1.575152042,0.849227959,1.105149519,0.88316743,0.770901662,1.154316419,0.859845933,1.014178783,1.148933616,1.076085805,1.344823723,0.776977727,1.120940489,0.959067763,0.80435608,1.094444907,0.54690684,1.216005207,0.656921674,1.420392373,1.071391045,0.944975593,1.025861526,0.958569766,0.821891706,1.107514688,0.882641469,1.041063927
S10,0.893130463,0.942275018,1.305440734,0.678151351,0.842880153,1.046364455,1.207058873,0.968226406,1.108092124,0.987826984,0.829497984,1.117825892,0.999661677,1.304403989,0.917451894,0.726314139,0.752690114,1.212121905,1.060607847,0.795454678,1.106637953,1.122448231,1.166906271,0.578581797,1.054467255,1.128406015,0.952586358,0.991867501,0.808163529,0.867605665,0.958413492,1.134019552,1.105275202,1.106052435,0.812378634,1.060835387,0.753528095,1.280094524,1.088743078,0.95611092
