subject_number,FromM1_ToM2,FromM1_ToM4,FromM1_ToM3,FromM1_ToM5,FromM2_ToM1,FromM2_ToM4,FromM2_ToM3,FromM2_ToM5,FromM4_ToM1,FromM4_ToM2,FromM4_ToM3,FromM4_ToM5,FromM3_ToM1,FromM3_ToM2,FromM3_ToM4,FromM3_ToM5,FromM5_ToM1,FromM5_ToM2,FromM5_ToM4,FromM5_ToM3
S1,1.186048409,1.06813475,0.843409788,1.02182641,1.245625317,0.85158874,1.171665774,0.772525714,0.731131879,0.898249437,1.1976608,0.997570457,1.103483471,0.886977831,1.098129872,1.001806487,0.637746924,0.94021991,1.09050502,1.253627814
S2,1.159259002,0.836260244,1.320674654,0.526933802,0.984848045,1.019930157,1.257033897,0.656564105,0.971546971,1.073980843,0.922598579,1.139950471,0.924257544,1.127562336,0.825246953,1.242621117,0.54094726,0.767676,1.698822715,0.952819007
S3,0.895645947,0.728187814,1.172665565,0.980650126,1.205276921,0.790012662,1.077445213,0.870476571,1.06119109,1.270471976,0.96214902,0.776636314,0.833195282,1.024380605,1.067984391,1.176762368,1.002297083,0.828848886,1.004770491,1.218475998
S4,0.544977764,0.724206631,1.488055571,1.138396816,0.962510382,0.924545992,1.024114827,0.872393452,0.863460177,0.708234322,1.065182865,1.294496727,1.193918374,1.266951127,0.886112403,0.798155946,0.694425591,1.078861633,1.433665989,0.965835776
S5,0.926425911,0.704383908,1.231696769,0.452815596,1.045451636,0.725870041,1.155744965,1.036954727,0.653203876,1.248043886,1.101032173,1.04660087,0.800971301,1.072757371,0.979837214,1.165208283,1.114484191,0.851186311,1.356654202,1.050053073
S6,1.305918044,0.63808343,0.877971,1.079095041,0.960095229,0.923982736,1.271360668,1.025954522,0.889835749,0.783111613,1.325612825,0.855784752,1.039803218,1.10172171,0.931469842,0.725701353,0.84635593,0.798044958,1.289659077,1.190790032
S7,1.18242253,1.102046573,0.964385,0.595188703,1.058598384,0.859334482,1.217391926,0.848484694,0.785672944,0.872973913,1.121402553,1.254904242,1.122020477,1.006936651,0.973089363,1.027641257,0.675073843,0.937604402,1.370005225,0.991066985
S8,0.817332232,0.813484608,1.242629826,0.745694687,1.078014117,0.974968926,1.032904318,1.096836462,0.984214854,0.940343737,1.1028132,1.017305686,1.04723558,0.940258774,1.196381551,1.019137397,0.843616147,1.062992432,0.847753777,1.1028132
S9,1.019939372,0.789624598,1.081133293,0.96372338,1.148672101,0.841906781,1.106384,0.77734999,0.872745965,1.177076573,1.066936412,1.18237272,1.103554559,1.107879063,0.7804631,0.944251319,0.744986561,0.910160037,1.305725571,1.159133845
S10,1.061976238,1.000507858,1.08943815,0.949632003,1.045841288,0.938297104,1.129990815,1.034232064,0.966308977,0.949891285,1.030286867,1.052026261,0.943428853,0.869435384,1.068937927,1.033374806,1.027202772,0.918799712,0.938190044,1.143860482
S11,1.203283317,0.866933193,1.261188561,0.42450823,0.999642106,0.61016686,1.121999868,1.154377398,0.948751365,0.75153831,1.278220868,1.134278585,1.025884282,0.984542113,0.927240108,0.977364173,0.891190079,1.155176897,1.427927724,0.811814911
S12,1.039585115,0.870514682,1.086103376,0.725428293,1.217847528,0.927434121,1.016015828,0.843125941,1.036541349,0.797518294,0.898444252,1.503550888,1.012241552,0.889496645,0.925035971,1.027817746,1.005697028,1.140315865,1.206836251,1.050895389
S13,0.953049754,0.854257914,1.210310186,0.761241398,0.995179358,0.75360613,1.321293274,0.958897602,0.878871508,0.6449095,1.238152244,1.162318136,1.248465196,0.841836212,0.972561104,0.929309003,0.695723004,1.308111398,1.172508291,0.973135239
S14,1.15076256,0.866858498,1.008778196,0.897815647,1.163374942,0.932667553,1.077659335,0.803132751,0.823358928,0.953046988,1.133690304,1.109642635,0.864003802,1.083430525,1.121519087,1.029588854,0.914844371,0.820679593,0.963637152,1.255158315
S15,1.15399027,1.356113665,0.965988629,0.601563102,1.087440452,0.885577941,1.107887927,1.013776929,0.818346809,0.992440539,1.139324253,1.001653511,0.823459371,1.174874612,0.828389266,1.255777183,0.959924523,0.56425096,1.144683531,1.193245699
S16,0.870592911,0.73544369,1.289102162,0.95090513,1.256315459,0.948892484,1.05723674,0.668187415,0.917099968,0.881552225,1.176041361,1.114907533,0.910717908,1.291247958,0.909176611,0.968756337,0.836794092,0.552996491,1.428929854,1.08085944
S17,0.745763097,0.796876963,1.283950781,0.930232848,0.641705095,0.738965517,1.450837256,0.966539637,1.08617438,0.929553037,1.06771,1.177327498,1.007307864,1.119555828,0.942342254,0.868246665,1.029618986,0.850348966,1.616824675,0.748427778
S18,0.6952143,1.152973564,0.969910533,1.095491421,1.042372931,0.839270829,1.459097524,0.684564157,0.937500703,0.929483418,1.077233095,1.078087533,0.899190512,1.138310905,1.00861393,0.991708874,0.606641567,0.933295964,1.228266411,1.112671765
S19,1.113644597,0.921144054,1.139644978,0.728816037,0.899054055,0.859515485,1.326876741,0.841972313,0.844102473,1.196256203,0.893977808,1.473733767,1.217500498,0.708336586,0.897908309,1.099477099,1.10883951,0.84822918,1.045981296,0.979766146
S20,1.057067488,0.669250027,1.25422365,1.014698811,0.954462649,0.774725325,1.05879371,1.13266968,1.167427569,0.884413503,1.073933911,0.951584401,0.95238,0.91575,1.198206169,0.941831487,0.719846402,0.922879432,1.14076334,1.183425104
S21,0.82786053,0.542789203,1.383866298,0.951665386,0.704981293,1.029887272,1.292977868,0.933627292,0.807729351,0.985102737,1.192937246,1.013396598,1.118352484,0.809840341,1.091302754,0.833096655,0.886599156,0.706220648,1.16568545,1.195167251
S22,1.018294608,1.132143394,1.152362748,0.622183812,0.89855366,1.026768363,1.07645182,1.12714623,0.693412644,1.043812608,1.125089742,1.09671961,1.174912565,0.995351642,0.811531444,0.943436648,0.980647837,0.89473277,1.268966039,1.06896843
S23,0.79575431,0.683761111,1.184077712,1.191065821,1.123609723,0.901661977,1.22255621,0.732963785,1.018802616,1.046613889,1.012128192,1.032496371,0.834616136,1.165080945,0.888307542,1.086843487,1.007445207,0.940858333,1.143367328,1.000845306
S24,1.198644364,0.682632333,1.16320799,0.652158065,1.420869489,0.833367779,1.102701351,0.690884725,0.434230505,0.890873691,1.173724551,1.266833779,1.115094476,0.953225238,1.144540956,1.003074287,0.767354029,0.958716959,1.101565239,1.157525021
S25,0.954545455,0.717624653,1.228723404,1.162498762,0.994319494,1.057553957,1.033245602,0.825002475,0.934705332,0.8599314,1.076306686,0.951798787,1.078095367,1.309119249,0.853168966,0.91968332,0.784007348,0.709342453,1.418145082,1.153374166
S26,1.004329556,1.01934721,1.064802883,0.852761139,1.075692972,0.902812513,1.217247961,0.782322161,0.853292683,1.082448696,1.040931889,0.98802997,1.11192088,1.148579645,0.76435003,0.953072058,1.013864545,0.478110628,1.677178535,0.98387223
S27,1.009170985,0.795452123,1.249999109,0.911951726,1.040568966,0.580485619,0.984969365,1.244939767,0.868630168,0.888726298,1.084783745,1.218504504,1.23983437,0.993609229,0.919934747,0.908202981,0.752390204,0.931856031,1.38508031,1.015720461
S28,0.871711791,0.856503049,1.251164288,1.010758761,1.227683156,0.778633724,1.272820984,0.684868403,0.551403117,1.032180226,1.234572678,1.184261324,1.013381069,1.022821124,1.032242172,0.959323261,0.974023261,0.594430705,1.460145601,0.87506204
S29,1.450249232,1.036932215,0.874770813,1.003742956,1.233574325,0.650505311,1.479417145,0.701646738,0.759040709,0.866378364,1.072149816,1.237647795,1.035687114,0.852247096,0.997957417,1.022921249,0.722218132,0.694190887,1.174050133,1.195390189
S30,0.712751391,1.061403729,1.22474511,0.893444717,1.043645194,0.763523699,1.159604952,0.861591042,0.942467096,0.840547649,1.219660461,1.01948983,0.959279068,1.099787164,1.046977721,1.069119254,1.102322918,0.853789069,1.077275721,0.886926616
S31,1.121559057,0.926137011,1.147495352,0.756106133,0.908045258,0.862254344,1.185605152,0.866975367,0.8646399,0.941426782,0.980558496,1.394229092,0.995017622,0.875644337,1.150772208,0.874228435,1.265502404,0.702052456,1.141609853,1.093192305
