subject_number,time,microstate,gev,duration,coverage,occurrence
S1,1,M1,0.055275,73.410993,14.92265,1.860771
S2,1,M1,0.125241,88.757953,18.087081,1.659529
S3,1,M1,0.066215,79.30264,16.132419,1.854703
S4,1,M1,0.049171,74.068898,12.722803,1.574985
S5,1,M1,0.07222,85.193817,16.921981,1.692198
S6,1,M1,0.062163,76.564272,15.057023,1.66017
S7,1,M1,0.092406,84.526451,19.297863,1.980666
S8,1,M1,0.100733,82.29761,20.337322,2.152005
S9,1,M1,0.082691,79.339948,15.172319,1.733489
S10,1,M1,0.106183,73.335449,20.236124,2.50162
S11,1,M1,0.078199,79.264262,16.988141,1.946707
S12,1,M1,0.086514,80.340132,18.464427,2.051603
S13,1,M1,0.072749,80.139135,14.274282,1.527828
S14,1,M1,0.055887,74.038887,14.267816,1.768738
S15,1,M1,0.043906,73.614945,10.911798,1.347136
S16,1,M1,0.061308,77.895535,13.458368,1.545754
S17,1,M1,0.094364,76.588577,18.768369,2.221833
S18,1,M1,0.060562,73.906306,14.80111,1.814559
S19,1,M1,0.040395,83.492342,13.428741,1.445944
S20,1,M1,0.086094,88.051529,16.628341,1.598879
S21,1,M1,0.109874,83.41941,22.340426,2.30963
S22,1,M1,0.067573,76.531562,13.904534,1.654464
S23,1,M1,0.067973,79.728385,16.126527,1.800466
S24,1,M1,0.074116,75.191013,16.223895,1.900128
S25,1,M1,0.072043,86.80663,14.622193,1.462951
S26,1,M1,0.057422,73.532473,15.656355,1.950948
S27,1,M1,0.052337,74.984349,12.113496,1.473263
S28,1,M1,0.116685,88.952418,23.149518,2.183252
S29,1,M1,0.098161,77.197113,20.231986,2.319859
S30,1,M1,0.075436,80.959867,15.929141,1.711483
S31,1,M1,0.105623,89.551348,23.432574,2.206655
S32,1,M1,0.088266,78.941408,17.120056,1.925746
S33,1,M1,0.074881,75.662585,16.698709,1.974046
S34,1,M1,0.066046,75.722473,16.212784,1.904896
S35,1,M1,0.03823,71.740999,10.396384,1.32128
S36,1,M1,0.060617,76.102302,14.025501,1.657559
S37,1,M1,0.095624,82.386988,18.33369,1.981152
S38,1,M1,0.082742,76.106083,16.959397,1.99104
S39,1,M1,0.059335,80.389359,15.180224,1.702317
S40,1,M1,0.043893,70.810244,11.223843,1.42676
S41,1,M1,0.045847,73.419052,12.466068,1.566089
S42,1,M1,0.055486,88.182043,14.214393,1.408601
S43,1,M1,0.067083,75.188782,15.959337,1.95493
S44,1,M1,0.069365,69.410647,14.150531,1.837968
S45,1,M1,0.091713,80.613981,19.258347,2.118491
S46,1,M1,0.055759,80.590977,15.534667,1.74924
S47,1,M1,0.087293,81.069339,17.623392,1.903872
S48,1,M1,0.062244,76.445656,14.856723,1.671565
S1,2,M1,0.051189,71.942489,14.301839,1.802294
S2,2,M1,0.097883,84.825215,17.569833,1.739146
S3,2,M1,0.066447,79.166333,16.373301,1.857002
S4,2,M1,0.050558,71.028887,13.948506,1.798079
S5,2,M1,0.077705,83.879347,18.407405,1.899806
S6,2,M1,0.060231,80.240955,14.509748,1.564636
S7,2,M1,0.084903,80.352711,18.88148,2.044726
S8,2,M1,0.085812,79.931778,19.775988,2.146491
S9,2,M1,0.087139,79.786603,17.197362,1.912973
S10,2,M1,0.084608,77.73204,19.036027,2.172122
S11,2,M1,0.088199,80.630981,18.40687,2.030037
S12,2,M1,0.074094,74.267086,16.95302,2.030975
S13,2,M1,0.074188,83.859458,15.779115,1.661839
S14,2,M1,0.063561,73.833826,14.351223,1.724201
S15,2,M1,0.052011,73.352807,12.885506,1.597674
S16,2,M1,0.061443,77.448463,13.667688,1.566198
S17,2,M1,0.07094,76.38078,16.990206,1.974585
S18,2,M1,0.066534,75.135935,15.39315,1.84317
S19,2,M1,0.040222,76.113711,12.196484,1.443095
S20,2,M1,0.097695,86.245722,19.245778,1.87826
S21,2,M1,0.106028,83.395553,21.854951,2.240237
S22,2,M1,0.061769,76.760628,15.31554,1.781705
S23,2,M1,0.058752,77.600519,14.992145,1.70487
S24,2,M1,0.074852,75.515386,16.604585,1.916189
S25,2,M1,0.083705,88.298536,17.043401,1.67779
S26,2,M1,0.073796,76.285084,17.566817,2.065255
S27,2,M1,0.054081,78.834254,13.326892,1.467965
S28,2,M1,0.127999,88.31602,23.799545,2.264171
S29,2,M1,0.096321,79.558194,20.207054,2.219688
S30,2,M1,0.080763,80.316205,16.02048,1.703743
S31,2,M1,0.098288,85.509165,21.46087,2.13913
S32,2,M1,0.094211,81.481377,18.32534,1.942801
S33,2,M1,0.089107,75.992974,18.658224,2.199213
S34,2,M1,0.068967,79.430535,17.0027,1.893475
