subject_number,time,coverage
S1,1,17.078966
S2,1,24.108911
S3,1,22.957414
S4,1,13.824171
S5,1,23.779209
S6,1,24.008218
S7,1,14.931018
S8,1,12.98757
S9,1,24.326421
S10,1,13.49318
S11,1,26.18789
S12,1,18.186981
S13,1,13.669265
S14,1,21.728972
S15,1,18.386557
S16,1,17.792538
S17,1,17.654809
S18,1,15.874558
S19,1,14.327323
S20,1,17.091628
S21,1,12.20982
S22,1,16.349251
S23,1,21.709119
S24,1,11.688122
S25,1,14.416379
S26,1,18.90087
S27,1,17.991962
S28,1,12.506214
S29,1,8.506762
S30,1,14.700262
S31,1,14.467869
S32,1,21.892645
S33,1,15.621554
S34,1,16.637925
S35,1,14.61055
S36,1,15.692648
S37,1,19.382563
S38,1,16.778292
S39,1,19.436522
S40,1,11.500615
S41,1,17.290831
S42,1,16.490702
S43,1,14.375341
S44,1,12.10164
S45,1,13.562057
S46,1,19.58574
S47,1,12.015758
S48,1,13.593836
S49,1,20.893515
S50,1,11.887332
S51,1,13.440937
S52,1,12.761551
S53,1,20.954416
S54,1,12.420776
S55,1,14.674107
S1,2,19.013002
S2,2,26.37868
S3,2,20.164054
S4,2,15.210356
S5,2,19.51393
S6,2,22.683405
S7,2,15.611726
S8,2,13.23689
S9,2,24.061216
S10,2,14.923944
S11,2,27.095778
S12,2,17.358041
S13,2,11.270449
S14,2,18.966401
S15,2,17.034075
S16,2,18.231099
S17,2,17.910282
S18,2,14.521544
S19,2,15.007893
S20,2,15.434106
S21,2,12.339438
S22,2,15.488833
S23,2,18.633734
S24,2,13.322146
S25,2,13.572889
S26,2,17.496575
S27,2,14.884629
S28,2,12.23828
S29,2,8.834514
S30,2,14.15567
S31,2,15.457814
S32,2,20.803578
S33,2,15.195953
S34,2,17.590482
S35,2,13.234201
S36,2,18.054198
S37,2,19.672916
S38,2,18.227628
S39,2,19.321529
S40,2,10.697706
S41,2,16.200034
S42,2,15.927509
S43,2,13.304619
S44,2,12.477248
S45,2,13.663366
S46,2,18.787496
S47,2,12.767501
S48,2,13.861864
S49,2,20.345749
S50,2,12.604779
S51,2,12.798513
S52,2,12.541937
S53,2,22.801943
S54,2,11.55377
S55,2,16.550988
S1,3,18.563736
S2,3,26.145464
S3,3,20.19912
S4,3,15.658991
S5,3,20.091232
S6,3,21.19077
S7,3,16.844569
S8,3,13.996635
S9,3,23.476014
S10,3,16.343282
S11,3,27.926784
S12,3,16.152637
S13,3,12.183177
S14,3,19.044783
S15,3,17.486595
S16,3,19.108484
S17,3,19.290979
S18,3,14.942099
S19,3,14.670143
S20,3,15.081058
S21,3,11.915316
S22,3,16.426185
S23,3,19.469662
S24,3,13.635583
S25,3,14.047165
S26,3,17.81761
S27,3,14.896287
S28,3,12.497633
S29,3,9.978217
S30,3,15.273593
S31,3,14.057771
S32,3,21.63874
S33,3,15.556865
S34,3,17.741164
S35,3,14.163637
S36,3,18.793318
S37,3,20.824671
S38,3,17.985057
S39,3,17.178755
S40,3,12.338591
S41,3,17.26462
S42,3,17.164912
S43,3,15.595915
S44,3,14.919781
S45,3,14.470636
S46,3,17.648152
S47,3,13.289474
S48,3,14.090463
S49,3,21.005698
S50,3,13.557905
S51,3,13.902073
S52,3,12.208689
S53,3,22.709573
S54,3,11.920344
S55,3,19.020747
S1,4,19.041868
S2,4,23.375892
S3,4,19.253976
S4,4,16.352527
S5,4,20.487455
S6,4,19.332539
S7,4,16.680606
S8,4,14.081219
S9,4,23.209133
S10,4,15.291715
S11,4,26.669842
S12,4,15.392953
S13,4,12.256482
S14,4,17.956881
S15,4,17.215961
S16,4,18.956904
S17,4,19.638143
S18,4,14.557006
S19,4,14.821139
S20,4,15.918184
S21,4,11.423577
S22,4,16.693025
S23,4,19.147751
S24,4,14.15044
S25,4,13.237042
S26,4,18.229319
S27,4,14.658727
S28,4,12.17989
S29,4,9.352948
S30,4,14.687867
S31,4,14.340796
S32,4,21.611183
S33,4,15.733943
S34,4,18.693673
S35,4,13.781038
S36,4,18.192242
S37,4,19.731355
S38,4,18.298533
S39,4,16.231541
S40,4,12.117961
S41,4,17.424398
S42,4,16.477517
S43,4,14.784112
S44,4,16.234872
S45,4,15.083445
S46,4,17.820571
S47,4,13.713286
S48,4,14.153917
S49,4,21.483115
S50,4,14.443316
S51,4,13.327249
S52,4,11.93403
S53,4,22.276881
S54,4,12.082369
S55,4,19.372571
S1,5,18.566953
S2,5,22.2948
S3,5,19.437576
S4,5,16.234026
S5,5,21.013431
S6,5,19.461946
S7,5,16.790807
S8,5,13.636232
S9,5,23.285936
S10,5,15.382987
S11,5,26.058271
S12,5,15.311534
S13,5,12.476029
S14,5,17.833292
S15,5,15.879565
S16,5,18.200302
S17,5,21.710206
S18,5,14.336892
S19,5,15.897184
S20,5,15.616105
S21,5,10.799238
S22,5,17.39868
S23,5,19.012384
S24,5,13.672559
S25,5,13.01112
S26,5,17.648196
S27,5,14.997156
S28,5,11.65653
S29,5,9.82466
S30,5,15.508369
S31,5,13.881953
S32,5,21.170483
S33,5,15.522569
S34,5,18.912907
S35,5,15.117087
S36,5,18.513658
S37,5,19.372157
S38,5,18.405975
S39,5,15.614526
S40,5,12.212186
S41,5,17.100249
S42,5,16.164376
S43,5,14.372071
S44,5,15.929793
S45,5,15.082001
S46,5,17.462426
S47,5,13.966021
S48,5,14.224466
S49,5,20.81514
S50,5,13.860679
S51,5,12.880599
S52,5,12.257463
S53,5,22.074919
S54,5,11.561683
S55,5,19.216208
