subject_number,time,gev
S1,1,0.233206
S2,1,0.206318
S3,1,0.268185
S4,1,0.302856
S5,1,0.176281
S6,1,0.259951
S7,1,0.19447
S8,1,0.245883
S9,1,0.211262
S10,1,0.280084
S11,1,0.251358
S12,1,0.251982
S13,1,0.279541
S14,1,0.252638
S15,1,0.323656
S16,1,0.245527
S17,1,0.277059
S18,1,0.224529
S19,1,0.18994
S20,1,0.262906
S21,1,0.517268
S22,1,0.27181
S23,1,0.238143
S24,1,0.19865
S25,1,0.214921
S26,1,0.240484
S27,1,0.190691
S28,1,0.230186
S29,1,0.274097
S30,1,0.293008
S31,1,0.235873
S32,1,0.186574
S33,1,0.249135
S34,1,0.355602
S35,1,0.204914
S36,1,0.33312
S37,1,0.281566
S38,1,0.387904
S39,1,0.261524
S40,1,0.301148
S41,1,0.289876
S42,1,0.316102
S43,1,0.319234
S44,1,0.238026
S45,1,0.264267
S46,1,0.258585
S47,1,0.226753
S48,1,0.231066
S49,1,0.270722
S50,1,0.261725
S51,1,0.23408
S52,1,0.328194
S53,1,0.18115
S54,1,0.203216
S55,1,0.277418
S1,2,0.231746
S2,2,0.141286
S3,2,0.25964
S4,2,0.301002
S5,2,0.196206
S6,2,0.283258
S7,2,0.229507
S8,2,0.247129
S9,2,0.191241
S10,2,0.219072
S11,2,0.294839
S12,2,0.206511
S13,2,0.255418
S14,2,0.264812
S15,2,0.269708
S16,2,0.274995
S17,2,0.311096
S18,2,0.237867
S19,2,0.188659
S20,2,0.266066
S21,2,0.49504
S22,2,0.287005
S23,2,0.258527
S24,2,0.207027
S25,2,0.211814
S26,2,0.238266
S27,2,0.197763
S28,2,0.269968
S29,2,0.284736
S30,2,0.293604
S31,2,0.234043
S32,2,0.227659
S33,2,0.201723
S34,2,0.292362
S35,2,0.223532
S36,2,0.3579
S37,2,0.289532
S38,2,0.429772
S39,2,0.275341
S40,2,0.287302
S41,2,0.315233
S42,2,0.336027
S43,2,0.308509
S44,2,0.247682
S45,2,0.244261
S46,2,0.237139
S47,2,0.203133
S48,2,0.236902
S49,2,0.26383
S50,2,0.264896
S51,2,0.261087
S52,2,0.308757
S53,2,0.150678
S54,2,0.210657
S55,2,0.252125
S1,3,0.231951
S2,3,0.154249
S3,3,0.266867
S4,3,0.285962
S5,3,0.200137
S6,3,0.295375
S7,3,0.216146
S8,3,0.255398
S9,3,0.182302
S10,3,0.214902
S11,3,0.300609
S12,3,0.21869
S13,3,0.247105
S14,3,0.268206
S15,3,0.262398
S16,3,0.25717
S17,3,0.302445
S18,3,0.273387
S19,3,0.20235
S20,3,0.268278
S21,3,0.470274
S22,3,0.286189
S23,3,0.258756
S24,3,0.209674
S25,3,0.203214
S26,3,0.216362
S27,3,0.200762
S28,3,0.246965
S29,3,0.278196
S30,3,0.294538
S31,3,0.236047
S32,3,0.223555
S33,3,0.198323
S34,3,0.28524
S35,3,0.184801
S36,3,0.362505
S37,3,0.275365
S38,3,0.435536
S39,3,0.299533
S40,3,0.259718
S41,3,0.310435
S42,3,0.32884
S43,3,0.302408
S44,3,0.275021
S45,3,0.229897
S46,3,0.245728
S47,3,0.215877
S48,3,0.240382
S49,3,0.223261
S50,3,0.253588
S51,3,0.262762
S52,3,0.277588
S53,3,0.144621
S54,3,0.211062
S55,3,0.217983
S1,4,0.224287
S2,4,0.178037
S3,4,0.283101
S4,4,0.277305
S5,4,0.196109
S6,4,0.301116
S7,4,0.189823
S8,4,0.252408
S9,4,0.199603
S10,4,0.205982
S11,4,0.310707
S12,4,0.224861
S13,4,0.25424
S14,4,0.270899
S15,4,0.26607
S16,4,0.247213
S17,4,0.295898
S18,4,0.296348
S19,4,0.191795
S20,4,0.280236
S21,4,0.469665
S22,4,0.294976
S23,4,0.258908
S24,4,0.210824
S25,4,0.185869
S26,4,0.177033
S27,4,0.210748
S28,4,0.225393
S29,4,0.280224
S30,4,0.289256
S31,4,0.231024
S32,4,0.224322
S33,4,0.183679
S34,4,0.241779
S35,4,0.176468
S36,4,0.360269
S37,4,0.283507
S38,4,0.395112
S39,4,0.301925
S40,4,0.2578
S41,4,0.325749
S42,4,0.322872
S43,4,0.300721
S44,4,0.268155
S45,4,0.223397
S46,4,0.247384
S47,4,0.226763
S48,4,0.252619
S49,4,0.212711
S50,4,0.263511
S51,4,0.270816
S52,4,0.261613
S53,4,0.141009
S54,4,0.219036
S55,4,0.211407
S1,5,0.22227
S2,5,0.17703
S3,5,0.280747
S4,5,0.267668
S5,5,0.197443
S6,5,0.296646
S7,5,0.17635
S8,5,0.244482
S9,5,0.2016
S10,5,0.199425
S11,5,0.307779
S12,5,0.221043
S13,5,0.250483
S14,5,0.258884
S15,5,0.267684
S16,5,0.244739
S17,5,0.279842
S18,5,0.294316
S19,5,0.19791
S20,5,0.283927
S21,5,0.455196
S22,5,0.291388
S23,5,0.263117
S24,5,0.215523
S25,5,0.178099
S26,5,0.169321
S27,5,0.216727
S28,5,0.219264
S29,5,0.271908
S30,5,0.283488
S31,5,0.22907
S32,5,0.229451
S33,5,0.182654
S34,5,0.219763
S35,5,0.17765
S36,5,0.34814
S37,5,0.284457
S38,5,0.371461
S39,5,0.310878
S40,5,0.251863
S41,5,0.317964
S42,5,0.313882
S43,5,0.30316
S44,5,0.265157
S45,5,0.227802
S46,5,0.245048
S47,5,0.218784
S48,5,0.246518
S49,5,0.203438
S50,5,0.261336
S51,5,0.262176
S52,5,0.256176
S53,5,0.142869
S54,5,0.223588
S55,5,0.206293
