subject_number,time,occurrence
S1,1,2.375961
S2,1,1.927157
S3,1,2.843668
S4,1,2.921095
S5,1,2.640054
S6,1,2.568008
S7,1,2.100987
S8,1,2.643235
S9,1,2.680209
S10,1,2.865279
S11,1,2.42669
S12,1,2.324839
S13,1,2.627366
S14,1,2.680044
S15,1,2.789011
S16,1,2.102176
S17,1,3.07422
S18,1,2.2896
S19,1,2.375173
S20,1,2.48841
S21,1,2.396768
S22,1,2.660692
S23,1,2.605784
S24,1,2.431978
S25,1,2.374587
S26,1,2.678261
S27,1,1.937706
S28,1,2.414601
S29,1,2.487562
S30,1,2.67181
S31,1,2.300225
S32,1,2.239705
S33,1,2.444314
S34,1,2.293578
S35,1,2.648118
S36,1,2.472508
S37,1,2.801843
S38,1,2.796382
S39,1,2.295652
S40,1,2.699194
S41,1,2.310882
S42,1,2.826783
S43,1,2.540235
S44,1,2.69714
S45,1,2.894128
S46,1,2.236861
S47,1,2.516962
S48,1,2.665795
S49,1,2.053243
S50,1,2.422785
S51,1,2.303242
S52,1,2.445904
S53,1,2.190171
S54,1,2.415366
S55,1,2.432568
S1,2,2.429051
S2,2,1.724438
S3,2,2.61309
S4,2,2.796539
S5,2,2.47154
S6,2,2.621363
S7,2,2.245665
S8,2,2.694394
S9,2,2.586085
S10,2,2.588377
S11,2,2.377274
S12,2,2.277882
S13,2,2.5496
S14,2,2.614759
S15,2,2.659944
S16,2,2.301172
S17,2,2.931246
S18,2,2.509443
S19,2,2.262761
S20,2,2.369871
S21,2,2.527438
S22,2,2.681438
S23,2,2.511518
S24,2,2.398497
S25,2,2.283306
S26,2,2.611301
S27,2,2.103301
S28,2,2.493832
S29,2,2.521903
S30,2,2.734458
S31,2,2.260923
S32,2,2.76816
S33,2,2.300473
S34,2,2.297663
S35,2,2.628784
S36,2,2.470666
S37,2,2.63446
S38,2,2.745439
S39,2,2.546866
S40,2,2.74234
S41,2,2.483416
S42,2,2.838092
S43,2,2.458794
S44,2,2.560762
S45,2,2.745275
S46,2,2.464653
S47,2,2.330432
S48,2,2.552957
S49,2,1.960435
S50,2,2.478175
S51,2,2.493565
S52,2,2.489471
S53,2,2.214128
S54,2,2.5354
S55,2,2.47375
S1,3,2.506731
S2,3,1.890515
S3,3,2.633712
S4,3,2.772284
S5,3,2.589531
S6,3,2.57863
S7,3,2.176966
S8,3,2.625571
S9,3,2.482698
S10,3,2.528281
S11,3,2.302419
S12,3,2.402669
S13,3,2.57056
S14,3,2.622838
S15,3,2.563982
S16,3,2.296515
S17,3,2.946035
S18,3,2.404744
S19,3,2.223102
S20,3,2.378987
S21,3,2.631943
S22,3,2.736513
S23,3,2.518527
S24,3,2.398126
S25,3,2.292758
S26,3,2.528128
S27,3,2.160684
S28,3,2.331471
S29,3,2.488698
S30,3,2.592307
S31,3,2.30624
S32,3,2.652849
S33,3,2.25275
S34,3,2.295662
S35,3,2.396015
S36,3,2.461058
S37,3,2.633403
S38,3,2.696708
S39,3,2.6185
S40,3,2.57102
S41,3,2.473506
S42,3,2.757668
S43,3,2.62121
S44,3,2.48583
S45,3,2.621146
S46,3,2.515687
S47,3,2.412281
S48,3,2.482361
S49,3,1.919363
S50,3,2.474155
S51,3,2.510196
S52,3,2.547473
S53,3,2.156048
S54,3,2.406478
S55,3,2.382928
S1,4,2.489848
S2,4,1.906313
S3,4,2.655029
S4,4,2.755793
S5,4,2.421228
S6,4,2.626753
S7,4,2.113102
S8,4,2.615006
S9,4,2.466783
S10,4,2.508714
S11,4,2.328782
S12,4,2.491015
S13,4,2.531535
S14,4,2.630031
S15,4,2.608479
S16,4,2.278342
S17,4,2.778547
S18,4,2.321153
S19,4,2.147736
S20,4,2.319605
S21,4,2.53963
S22,4,2.701022
S23,4,2.484856
S24,4,2.390277
S25,4,2.244264
S26,4,2.359018
S27,4,2.124067
S28,4,2.350914
S29,4,2.507611
S30,4,2.457046
S31,4,2.250696
S32,4,2.551246
S33,4,2.181171
S34,4,2.194136
S35,4,2.362261
S36,4,2.474025
S37,4,2.702092
S38,4,2.623272
S39,4,2.604665
S40,4,2.522412
S41,4,2.468628
S42,4,2.759988
S43,4,2.589466
S44,4,2.57265
S45,4,2.633675
S46,4,2.546919
S47,4,2.435319
S48,4,2.478124
S49,4,1.9359
S50,4,2.442826
S51,4,2.585991
S52,4,2.541456
S53,4,2.100576
S54,4,2.39391
S55,4,2.251688
S1,5,2.402165
S2,5,1.971587
S3,5,2.640292
S4,5,2.705195
S5,5,2.424801
S6,5,2.692465
S7,5,2.112074
S8,5,2.562659
S9,5,2.426804
S10,5,2.49023
S11,5,2.303525
S12,5,2.472253
S13,5,2.548646
S14,5,2.635991
S15,5,2.562602
S16,5,2.334582
S17,5,2.784211
S18,5,2.363726
S19,5,2.12915
S20,5,2.376544
S21,5,2.561483
S22,5,2.729903
S23,5,2.464155
S24,5,2.399211
S25,5,2.214488
S26,5,2.339932
S27,5,2.104664
S28,5,2.318509
S29,5,2.513907
S30,5,2.473988
S31,5,2.235513
S32,5,2.50212
S33,5,2.154886
S34,5,2.070863
S35,5,2.365148
S36,5,2.489123
S37,5,2.660055
S38,5,2.647444
S39,5,2.600798
S40,5,2.493696
S41,5,2.480879
S42,5,2.694293
S43,5,2.580996
S44,5,2.581351
S45,5,2.658991
S46,5,2.593499
S47,5,2.433885
S48,5,2.513892
S49,5,1.971998
S50,5,2.45486
S51,5,2.519433
S52,5,2.525832
S53,5,2.093447
S54,5,2.350091
S55,5,2.268721
