subject_number,time,duration
S1,1,96.081853
S2,1,102.23309
S3,1,75.925975
S4,1,92.04925
S5,1,89.878382
S6,1,76.382091
S7,1,113.592684
S8,1,84.170262
S9,1,81.977706
S10,1,85.599744
S11,1,73.699877
S12,1,88.890735
S13,1,90.514409
S14,1,70.63434
S15,1,81.022929
S16,1,99.516365
S17,1,75.322488
S18,1,109.773827
S19,1,98.683201
S20,1,83.042947
S21,1,91.78714
S22,1,87.074171
S23,1,90.428925
S24,1,103.06156
S25,1,100.254685
S26,1,85.168566
S27,1,104.025155
S28,1,110.33026
S29,1,91.364785
S30,1,95.557492
S31,1,106.095249
S32,1,99.724608
S33,1,90.102317
S34,1,93.324795
S35,1,94.316302
S36,1,80.480753
S37,1,78.672626
S38,1,80.752283
S39,1,82.731074
S40,1,94.435651
S41,1,82.012882
S42,1,83.748173
S43,1,85.926708
S44,1,95.987545
S45,1,85.579047
S46,1,89.19571
S47,1,86.212447
S48,1,91.491243
S49,1,102.764807
S50,1,96.818232
S51,1,93.030394
S52,1,100.492357
S53,1,98.292157
S54,1,91.481337
S55,1,93.808113
S1,2,93.166903
S2,2,105.598817
S3,2,78.030195
S4,2,86.033836
S5,2,94.283313
S6,2,86.110714
S7,2,106.604721
S8,2,88.697163
S9,2,80.467003
S10,2,87.052501
S11,2,76.898183
S12,2,93.355674
S13,2,88.315118
S14,2,79.905494
S15,2,84.616939
S16,2,95.664235
S17,2,79.285956
S18,2,107.610327
S19,2,102.941428
S20,2,90.836091
S21,2,89.188033
S22,2,89.697435
S23,2,87.143694
S24,2,108.918986
S25,2,100.045737
S26,2,84.749833
S27,2,99.95489
S28,2,104.363454
S29,2,95.579355
S30,2,93.101241
S31,2,101.84484
S32,2,88.72289
S33,2,97.390523
S34,2,99.0963
S35,2,95.670198
S36,2,81.320722
S37,2,81.952789
S38,2,87.406361
S39,2,73.020675
S40,2,92.567938
S41,2,79.476958
S42,2,82.258784
S43,2,84.458773
S44,2,92.694866
S45,2,83.396261
S46,2,87.051375
S47,2,88.916329
S48,2,95.600949
S49,2,104.512914
S50,2,90.586411
S51,2,91.442076
S52,2,98.242012
S53,2,107.383742
S54,2,93.580229
S55,2,100.385496
S1,3,92.785614
S2,3,101.267282
S3,3,79.269696
S4,3,89.367217
S5,3,92.821604
S6,3,88.242876
S7,3,106.465604
S8,3,89.349637
S9,3,82.667779
S10,3,84.373437
S11,3,84.369356
S12,3,96.279251
S13,3,90.325159
S14,3,78.726213
S15,3,83.952896
S16,3,98.326229
S17,3,81.214341
S18,3,102.259584
S19,3,103.773541
S20,3,89.399772
S21,3,90.470812
S22,3,89.188979
S23,3,88.182657
S24,3,107.252247
S25,3,100.373367
S26,3,92.581632
S27,3,97.910164
S28,3,105.674158
S29,3,93.206995
S30,3,96.963387
S31,3,99.855567
S32,3,85.383904
S33,3,102.735269
S34,3,105.640796
S35,3,103.208145
S36,3,78.541139
S37,3,79.770483
S38,3,88.311097
S39,3,79.725619
S40,3,97.764602
S41,3,80.024124
S42,3,81.301515
S43,3,82.82015
S44,3,93.533344
S45,3,85.172993
S46,3,88.153604
S47,3,92.725131
S48,3,97.847611
S49,3,107.816658
S50,3,94.210599
S51,3,95.345446
S52,3,98.890934
S53,3,106.131265
S54,3,102.176989
S55,3,107.868776
S1,4,94.387101
S2,4,102.559797
S3,4,78.726676
S4,4,91.969532
S5,4,93.895192
S6,4,89.451842
S7,4,107.180073
S8,4,90.090106
S9,4,84.49349
S10,4,87.698307
S11,4,87.268983
S12,4,94.874489
S13,4,89.187209
S14,4,80.119663
S15,4,85.964562
S16,4,95.763886
S17,4,82.432729
S18,4,104.089675
S19,4,102.452169
S20,4,90.041007
S21,4,92.703591
S22,4,89.477261
S23,4,85.689896
S24,4,105.461359
S25,4,105.613051
S26,4,97.069482
S27,4,96.461675
S28,4,109.11511
S29,4,94.125375
S30,4,97.080067
S31,4,101.856799
S32,4,85.887939
S33,4,101.975926
S34,4,107.621754
S35,4,105.568309
S36,4,78.629946
S37,4,82.509028
S38,4,88.662302
S39,4,80.372235
S40,4,96.878386
S41,4,80.284505
S42,4,84.290464
S43,4,87.571025
S44,4,95.197932
S45,4,84.416941
S46,4,85.746426
S47,4,93.774978
S48,4,98.142775
S49,4,106.514058
S50,4,93.774342
S51,4,95.008104
S52,4,99.089531
S53,4,104.337244
S54,4,102.24695
S55,4,105.671675
S1,5,94.361347
S2,5,103.048413
S3,5,78.333249
S4,5,92.174895
S5,5,94.846016
S6,5,90.543012
S7,5,109.683336
S8,5,90.143909
S9,5,85.274396
S10,5,88.380867
S11,5,86.292868
S12,5,94.241574
S13,5,92.179927
S14,5,82.3833
S15,5,87.688769
S16,5,96.075758
S17,5,80.507137
S18,5,99.775058
S19,5,99.262956
S20,5,90.971345
S21,5,93.777813
S22,5,89.458215
S23,5,87.282131
S24,5,108.917995
S25,5,104.728204
S26,5,98.797705
S27,5,95.789901
S28,5,108.104514
S29,5,96.036596
S30,5,97.84253
S31,5,101.880003
S32,5,86.642958
S33,5,103.785908
S34,5,114.625937
S35,5,101.560234
S36,5,81.319188
S37,5,82.105255
S38,5,90.434928
S39,5,80.384614
S40,5,97.213192
S41,5,82.633214
S42,5,85.627119
S43,5,87.045084
S44,5,93.109489
S45,5,85.175734
S46,5,85.303792
S47,5,91.894827
S48,5,98.405938
S49,5,103.891922
S50,5,94.029176
S51,5,94.27912
S52,5,97.012568
S53,5,104.871418
S54,5,105.513222
S55,5,105.004465
