subject_number,time,FromM1_ToM2,FromM1_ToM3,FromM1_ToM4,FromM1_ToM5,FromM2_ToM1,FromM2_ToM3,FromM2_ToM4,FromM2_ToM5,FromM3_ToM1,FromM3_ToM2,FromM3_ToM4,FromM3_ToM5,FromM4_ToM1,FromM4_ToM2,FromM4_ToM3,FromM4_ToM5,FromM5_ToM1,FromM5_ToM2,FromM5_ToM3,FromM5_ToM4
S1,1,1.296567871,0.968104841,0.929618022,0.687335883,0.949525455,1.033084967,0.91369519,0.933509767,1.044417093,0.926611797,1.126820768,1.050134159,1.019697765,0.687891928,1.188681689,1.193453303,0.776754007,1.283803532,1.012366517,1.058873707
S2,1,1.162411345,1.060930349,0.863418229,0.982925571,0.995094814,1.044086405,1.063268522,0.762127879,0.964982003,1.279818122,0.916527412,0.89743368,1.064173161,0.778631247,1.28896512,0.970273422,0.815783634,0.779664197,0.825287513,1.540838015
S3,1,0.648981881,1.279971224,0.857594328,0.930571722,0.865368733,1.374092294,0.567983293,1.152508021,1.09510419,1.032224272,1.043092226,0.989563405,0.721546815,0.967432733,1.085844519,1.113847193,1.076481421,0.981896767,0.893626138,1.148900005
S4,1,1.34390337,1.06097614,0.566707604,0.537563549,0.901827102,1.274202442,0.975819241,0.657332545,0.81041542,1.130169037,1.029410572,1.054827641,1.050546311,0.899314463,0.915502743,1.41365023,1.287411621,1.023360277,0.644916869,1.271893026
S5,1,1.283960799,1.135474667,0.646956871,0.89920388,1.027369113,1.046990672,1.091233048,0.910020752,0.876905686,0.985873598,0.931420122,1.068028603,1.106977057,0.808942507,1.136209991,1.062249449,0.882935251,1.048482526,1.212532261,0.914376927
S6,1,1.12585906,0.928135483,0.859472329,0.937252097,0.89519451,1.106044196,1.148965897,0.849050231,0.998203358,1.248625624,1.024939955,0.946750166,0.824533771,0.887216738,1.079693863,1.173049224,0.99252562,0.640789042,1.21582146,1.177642306
S7,1,0.6860597,1.335209154,0.890141592,0.84870444,0.974970632,1.219099019,0.924829747,1.030652141,0.912088704,0.998456242,1.332475613,0.957878303,0.753919763,0.751621352,1.040215441,1.298776222,0.996518241,1.059718005,1.127454608,0.659972184
S8,1,1.247814809,1.006492914,0.710351241,0.91174256,1.188437694,1.202237858,0.76769167,0.734173187,1.059771854,0.988028549,0.87656142,1.06256553,0.719216985,1.159352719,1.283941519,0.911997009,1.003100357,0.70622416,0.987617995,1.486518017
S9,1,1.33834373,1.078107242,0.562492899,0.808582697,0.85271376,1.238888717,0.713242281,1.05543944,0.990374019,1.034770412,1.359078011,0.827436149,1.123543184,0.678261057,1.155798914,1.186702286,0.996794872,1.124134977,0.799017927,0.972722247
S10,1,1.155163224,0.954763236,1.062390721,0.888501101,1.058940651,1.120953709,0.735961494,1.017458007,1.213077277,0.77347546,0.963532624,0.971299745,1.214242648,0.747523827,0.813088152,1.314196134,0.874100777,1.238526474,1.125,0.900000558
S11,1,1.192660084,1.200354271,0.810111555,0.888648715,1.124549217,1.054417079,0.88104948,0.801151918,1.23444716,0.797756745,1.03858623,0.989372183,1.051028487,0.757970075,1.092598029,1.171984679,0.568807384,0.898552468,1.09999728,1.31603518
S12,1,0.980792362,1.026651885,0.836960333,0.954438648,1.018829517,1.133676916,1.170305259,0.772070538,1.110168701,1.098049947,0.945735895,0.917188664,0.851997462,1.005354752,1.091343127,1.199048583,0.837583428,0.963304563,1.129342952,1.104809453
S13,1,0.81500154,1.223341566,1.152756798,0.82096935,1.126189538,0.959709345,0.936632152,0.545768776,0.975676194,1.197824999,0.936287599,1.171964754,0.955238641,0.849601631,1.299709618,0.968206518,0.906592338,0.951925552,0.873746359,1.193834542
S14,1,0.801121889,0.981770732,0.971468363,0.953336193,0.720850037,1.074723239,0.902635803,1.291766631,1.112857597,1.063145491,0.916771841,0.871543699,0.978256043,0.894412794,1.494069827,0.813911561,0.887500444,0.811428735,1.000455046,1.54347665
S15,1,0.626446814,0.953498652,0.923959908,1.271636902,1.063158244,1.176027035,1.117258516,0.776921545,0.916334998,1.139586441,0.924443614,0.821815694,0.97391113,0.914337866,1.013941122,1.255958407,0.507083199,1.204327634,1.187830497,1.236298986
S16,1,0.964487568,0.796294836,1.037461669,1.254166297,1.036343777,1.133503363,0.755052965,1.129455427,1.0337979,1.049455531,0.947222063,1.002605971,0.901269755,0.802671686,1.491070714,0.708257498,0.83639164,1.125620396,0.914809713,1.147060296
S17,1,1.286089953,1.115107588,0.857391746,0.8404149,0.979119206,1.300643062,0.731034483,0.938033196,1.252926205,0.712910021,0.887179881,0.889373431,0.833675192,0.514680484,1.300507186,1.244835034,0.724098422,1.021780884,1.181253374,1.198385751
S18,1,1.263677413,1.225423652,0.412508641,0.774510897,0.808052118,1.18282188,1.279832052,0.758576824,1.162101471,0.865019499,0.833679121,1.259756536,0.788515885,1.116418466,0.932258749,1.29974736,1.103967966,0.982118533,0.925521682,1.077090689
S19,1,0.874125,1.193634483,0.720252809,0.964983871,1.142187657,1.459248846,0.688200933,0.658601867,0.925213308,0.95675407,1.216290509,0.905312854,0.704411663,0.811668213,1.136768019,1.358826189,0.534879527,0.948193096,1.186875562,1.113326612
S20,1,1.247850552,1.229768139,0.711429871,0.903980348,0.960675606,1.043475224,0.878051374,0.920457331,1.10209979,1.081842122,1.046664225,0.9404628,0.984515942,0.744500902,0.931249566,1.194844216,0.724719788,1.001224234,1.285325016,0.983231619
S21,1,0.721590721,1.274809762,1.049839631,0.999567319,0.828616942,1.282007769,0.877358588,0.903942317,1.129215279,1.096830018,0.84757656,0.779159081,1.064838206,1.08046668,0.949501561,1.183152813,0.891441854,0.817969614,1.090624282,1.153631195
S22,1,1.308629496,1.041499841,0.83622572,0.647698592,0.689933786,1.303211105,0.743737065,1.005486761,1.035762206,1.025580958,1.004880372,1.096734608,1.13523945,0.623488156,1.332017904,0.992677606,0.778328141,0.948527332,0.878114252,1.445696626
S23,1,1.226683516,0.99346399,0.955589642,0.979175841,1.032194179,1.502895308,0.526418182,0.931714841,0.986925202,0.852531558,1.258331786,0.98984157,0.757353906,0.942074951,0.953704027,1.184958321,0.914630365,0.70429209,1.234021983,0.932922697
S24,1,0.735566402,0.996999997,1.363165221,0.887769,1.130099699,1.058313421,0.771733253,0.843174384,1.044302186,1.290728217,0.797331965,1.024874074,0.627795238,0.807608859,1.370905571,1.176907098,1.020278043,0.933494779,0.837783835,1.365763618
