subject_number,time,m2_m4
S1,1,0.88886437
S2,1,1.203172906
S3,1,1.014361155
S4,1,0.37162884
S5,1,0.752844884
S6,1,1.017278642
S7,1,0.803520844
S8,1,0.528444569
S9,1,0.698468803
S10,1,0.721411038
S11,1,0.662376662
S12,1,1.121859757
S13,1,0.847753924
S14,1,1.038615396
S15,1,0.829774271
S16,1,0.767376785
S17,1,0.647652444
S18,1,0.882351644
S19,1,1.031110396
S20,1,0.964806368
S21,1,0.681895412
S22,1,1.026096043
S23,1,0.896946672
S24,1,0.757282197
S25,1,0.8867007
S26,1,0.66409279
S27,1,0.779028896
S28,1,0.865808898
S29,1,0.640775262
S30,1,0.782756409
S31,1,0.781034402
S32,1,0.586954826
S33,1,0.913089557
S34,1,0.605681793
S35,1,1.002977594
S36,1,1.026048026
S37,1,0.613639739
S38,1,0.548609437
S39,1,1.011899992
S40,1,0.614578513
S41,1,0.830094791
S42,1,0.971869256
S43,1,0.886890097
S44,1,0.788186219
S45,1,0.876925158
S46,1,1.143344357
S47,1,0.800257014
S48,1,0.770244216
S49,1,0.876093347
S50,1,1.363892279
S51,1,0.965003311
S52,1,0.776786443
S53,1,0.936405111
S54,1,0.581389396
S55,1,0.754053791
S1,2,0.81836323
S2,2,1.082300807
S3,2,0.844074609
S4,2,0.800167632
S5,2,0.886482983
S6,2,0.879541552
S7,2,0.748955767
S8,2,0.853519901
S9,2,0.736065848
S10,2,0.905074762
S11,2,0.585926056
S12,2,1.00825561
S13,2,0.978930684
S14,2,0.95911198
S15,2,0.961266431
S16,2,0.871211468
S17,2,0.637996242
S18,2,0.881259815
S19,2,0.736708371
S20,2,0.937945512
S21,2,0.641825367
S22,2,1.053872547
S23,2,0.890888102
S24,2,0.752102592
S25,2,1.097644814
S26,2,0.791901968
S27,2,0.775370893
S28,2,0.886933705
S29,2,0.841200179
S30,2,0.816706629
S31,2,0.706145779
S32,2,0.642062958
S33,2,1.131765857
S34,2,0.7864082
S35,2,0.932437198
S36,2,0.880707624
S37,2,0.792057375
S38,2,0.8981658
S39,2,0.784547842
S40,2,0.726601603
S41,2,0.68202203
S42,2,0.831785043
S43,2,0.841667508
S44,2,0.858988199
S45,2,0.804919789
S46,2,1.117298826
S47,2,0.870656827
S48,2,1.21066133
S49,2,0.897001481
S50,2,1.101094862
S51,2,0.883504575
S52,2,0.88573212
S53,2,0.838019981
S54,2,0.68506189
S55,2,0.810519394
S1,3,0.875807069
S2,3,0.919717046
S3,3,0.81171259
S4,3,0.777963024
S5,3,0.943735996
S6,3,0.854833457
S7,3,0.813607853
S8,3,0.950785738
S9,3,0.782990551
S10,3,0.831014696
S11,3,0.671603697
S12,3,0.961256293
S13,3,0.906781123
S14,3,0.949817148
S15,3,0.896982362
S16,3,0.887315933
S17,3,0.686074136
S18,3,0.922245692
S19,3,0.849044825
S20,3,0.894552555
S21,3,0.800017391
S22,3,1.071483648
S23,3,1.034479441
S24,3,0.78378015
S25,3,1.089282631
S26,3,0.878535692
S27,3,0.731972386
S28,3,0.966017226
S29,3,0.661702931
S30,3,0.676487612
S31,3,0.824819296
S32,3,0.617406231
S33,3,1.054814454
S34,3,0.676428384
S35,3,0.970255747
S36,3,0.972061547
S37,3,0.7528406
S38,3,0.87674324
S39,3,0.812202745
S40,3,0.749428989
S41,3,0.661421233
S42,3,0.923087389
S43,3,0.769569379
S44,3,0.935288915
S45,3,0.920452435
S46,3,1.053719792
S47,3,0.879393251
S48,3,1.093802085
S49,3,1.008017507
S50,3,1.064192758
S51,3,0.718475498
S52,3,0.94392473
S53,3,0.90108483
S54,3,0.86709788
S55,3,0.883369488
S1,4,0.939232446
S2,4,0.850483421
S3,4,0.803412423
S4,4,0.898930535
S5,4,0.878562836
S6,4,0.781765459
S7,4,0.850404858
S8,4,0.929127717
S9,4,0.683293849
S10,4,0.865013656
S11,4,0.646520006
S12,4,1.019098515
S13,4,0.869308704
S14,4,0.957362701
S15,4,0.854116283
S16,4,0.869905191
S17,4,0.748204761
S18,4,1.036146615
S19,4,0.944541129
S20,4,0.859735665
S21,4,0.730250253
S22,4,1.0725206
S23,4,0.997900347
S24,4,0.851203747
S25,4,0.912175763
S26,4,0.905710581
S27,4,0.787123074
S28,4,0.886710191
S29,4,0.804617737
S30,4,0.755985022
S31,4,0.876954164
S32,4,0.748323755
S33,4,1.142123427
S34,4,0.764200306
S35,4,1.018121801
S36,4,0.96737843
S37,4,0.761540047
S38,4,0.835458841
S39,4,0.796320415
S40,4,0.657567553
S41,4,0.738547921
S42,4,0.881628957
S43,4,0.687779731
S44,4,0.948312817
S45,4,0.839885856
S46,4,1.044998063
S47,4,0.871819752
S48,4,0.986051291
S49,4,1.044766812
S50,4,0.933702679
S51,4,0.696883341
S52,4,0.846022319
S53,4,0.928956755
S54,4,0.884763191
S55,4,0.983889863
S1,5,0.896215766
S2,5,0.888678906
S3,5,0.840248539
S4,5,0.891255411
S5,5,0.874837847
S6,5,0.760656237
S7,5,0.901898323
S8,5,0.97859334
S9,5,0.892270204
S10,5,0.819917679
S11,5,0.58860687
S12,5,1.015794589
S13,5,0.866780585
S14,5,0.917363885
S15,5,0.880527989
S16,5,0.903125851
S17,5,0.761597143
S18,5,1.11048337
S19,5,0.866541605
S20,5,0.932241977
S21,5,0.726282771
S22,5,1.001650791
S23,5,0.989559409
S24,5,0.901626247
S25,5,0.852808891
S26,5,0.915745113
S27,5,0.79163294
S28,5,0.779816514
S29,5,0.715284927
S30,5,0.858800548
S31,5,0.832868502
S32,5,0.739448776
S33,5,1.106083262
S34,5,0.792116297
S35,5,1.076588415
S36,5,0.815594514
S37,5,0.776556118
S38,5,0.820851812
S39,5,0.833352005
S40,5,0.716169266
S41,5,0.794774088
S42,5,0.884070299
S43,5,0.738734302
S44,5,0.885748252
S45,5,0.887285208
S46,5,1.028959814
S47,5,0.935322656
S48,5,0.926496401
S49,5,1.064595654
S50,5,0.997816914
S51,5,0.71249483
S52,5,0.940251138
S53,5,0.889356167
S54,5,1.001672241
S55,5,0.965931667
